input_point,x,p
-3.141592653589793,3.877111040174352,-0.8518339286995573
-3.141592653589793,2.5194898059426745,3.0433960159392264
-3.141592653589793,4.110349908071569,1.24011715601603
-3.141592653589793,-1.8716641999606622,0.748044624174244
-3.141592653589793,-4.368803120807402,0.6965456543138542
-3.141592653589793,0.27140113581313585,-3.8500354624109256
-3.141592653589793,1.6297331447159102,-3.5309515598621037
-3.141592653589793,3.0697889482281493,-2.3402224738305346
-3.141592653589793,-1.0942438071811695,-0.680041532865876
-3.141592653589793,-1.0727069574611443,-4.8666465989065095
-3.141592653589793,-3.241261927608454,2.7573122217680837
-3.141592653589793,-0.48917733940459307,0.19392126648808095
-3.141592653589793,-2.3523182610833118,-0.09323125499296303
-3.141592653589793,3.053590561405777,-2.8454395261807006
-3.141592653589793,2.640250405172333,-0.19755037516392804
-3.141592653589793,-0.8927893672111953,-2.7059600601926963
-3.141592653589793,-0.5839046672252106,-4.033784001604422
-3.141592653589793,0.009513742253676405,0.5393883278960683
-3.141592653589793,1.6467821411126522,-1.1845909239000587
-3.141592653589793,-2.625189510623364,-3.2910423785660763
-3.141592653589793,0.5090748231858617,1.137839579574763
-3.141592653589793,-0.9049424437473181,1.706204652903514
-3.141592653589793,2.5402689461109613,3.762761466048758
-3.141592653589793,-2.795604522460974,-3.456934767584712
-3.141592653589793,2.797424487376432,-0.29027665027011196
-3.141592653589793,1.3813489166841162,3.61404082964939
-3.141592653589793,0.19788319355492057,2.0298244185727583
-3.141592653589793,0.5846200349840727,-1.0970112150559874
-3.141592653589793,-0.6784633352678,-1.9130854392740968
-3.141592653589793,-1.0025592953083189,-0.8103505084174749
-3.141592653589793,1.0405402418932077,-3.5140496667329275
-3.141592653589793,-1.1852641342713355,4.028304734526728
-3.141592653589793,0.9525746908933508,0.3494182785517719
-3.141592653589793,-0.16770580924737555,-0.4558692875339476
-3.141592653589793,2.6749456630102113,-3.096033605406018
-3.141592653589793,-0.9317456994238649,-0.6324940557319136
-3.141592653589793,0.2833575132473385,-1.2159483887071705
-3.141592653589793,1.1414565415779698,4.833907672680525
-3.141592653589793,-0.18162250406608038,-4.707404714437982
-3.141592653589793,-0.5300729431763047,1.9420213495194911
-3.141592653589793,-0.8083875648926,-1.0396945685015613
-3.141592653589793,-3.8791179256266224,0.7852767106758183
-3.141592653589793,1.0250655851363888,-3.5657076644311436
-3.141592653589793,2.8918420731581644,-2.5138417613887887
-3.141592653589793,-0.6730689551485209,-2.8320663123547405
-3.141592653589793,3.729625751516828,0.3856314423881786
-3.141592653589793,0.8160867207801799,1.6756596745740389
-3.141592653589793,-3.8497101352370136,-1.5406041362815515
-3.141592653589793,2.485816052928511,-2.7595071826614053
-3.141592653589793,2.155329678144584,1.3905091045186388
-3.141592653589793,1.477264701680916,-1.050120212827549
-3.141592653589793,3.826289351624844,-1.4469382894674911
-3.141592653589793,1.2113897859854976,4.268629287979886
-3.141592653589793,-4.106572443229398,-0.5460868471398017
-3.141592653589793,3.1683241506571136,-2.246272869102599
-3.141592653589793,-4.764994528245099,-0.9978270833690024
-3.141592653589793,-2.3313136138560235,-3.5872861344321425
-3.141592653589793,-0.7662914144672595,0.9550635629193112
-3.141592653589793,2.508766388896941,-2.902553834802166
-3.141592653589793,-0.12511035491588984,4.2079578239534605
-3.141592653589793,-0.8102987066996548,-2.743126783628476
-3.141592653589793,-2.631733650954332,3.446553970550031
-3.141592653589793,2.891908073717003,-0.3036817669632743
-3.141592653589793,1.765160594864481,-0.3462342041258619
-3.141592653589793,2.8641956024716873,2.6316554227873823
-3.141592653589793,4.319063436853298,-1.2280449983050516
-3.141592653589793,-0.34082138667171424,2.0683923773391655
-3.141592653589793,-0.9359126881876492,-1.9149866325071665
-3.141592653589793,-3.8097385709348606,-1.1111695902512713
-3.141592653589793,0.9851669984183147,-1.8338586208895116
-3.141592653589793,-3.809388614737611,1.3239614229395755
-3.141592653589793,2.251801324454153,1.6622347251854688
-3.141592653589793,-1.842014708212531,-3.765845774811746
-3.141592653589793,-0.09369536750368468,4.773925892534054
-3.141592653589793,3.7889288605317937,-0.029711487551129068
-3.141592653589793,3.9678261987422534,0.2631122976835316
-3.141592653589793,-0.6857435419231033,-2.945482545867181
-3.141592653589793,0.13893435989803393,1.0270890582015735
-3.141592653589793,0.08921682082033033,-0.4724423125758417
-3.141592653589793,4.01003699275801,-0.5089259173940377
-3.141592653589793,-4.440769585530287,-1.0183444420958434
-3.141592653589793,2.0149975866489633,-3.8246384000493006
-3.141592653589793,-0.4104262715692073,-3.989753205416675
-3.141592653589793,-0.06584577912287859,0.5209558513736177
-3.141592653589793,-0.3986417510314908,-0.21261967220461564
-3.141592653589793,3.494095550926211,3.0959584205832957
-3.141592653589793,-3.8552563648378997,-0.9289986082331483
-3.141592653589793,-2.848853540568072,3.658759403331892
