Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
12,-0.03839229,0.13237233,-0.04462685,-0.16462067,-0.090548135,-0.017118271,-0.0010564546,0.10472526,0.002172652,-0.061865672,-0.12669161,-0.05663498,0.019275531,0.045054656,0.018804692,-0.011376969,-0.13900763,-0.07061275,0.022642348,0.0070482143,0.020335944,0.017015118,-0.14189756,-0.0692934,0.0145122055,-0.007859463,0.011112285,0.03802782,-0.1492303,-0.06536712,-0.004818817,0.016687656,-0.005954122,0.053958025,-0.17346373,-0.07187876
13,-0.038092468,0.13126099,-0.045805383,-0.16192293,-0.09562724,-0.015937949,-0.0018285678,0.10295629,0.0008737182,-0.06121789,-0.12944521,-0.055191793,0.018406997,0.04485145,0.017827185,-0.011816657,-0.14158589,-0.069162585,0.02205569,0.008400889,0.01974432,0.015974667,-0.14408101,-0.06782279,0.014317023,-0.005863307,0.010907248,0.03692504,-0.15091236,-0.06350974,-0.0047316,0.017945183,-0.005886448,0.05327801,-0.17454952,-0.069806054
14,-0.037532385,0.1340286,-0.045463838,-0.16184348,-0.09224886,-0.012638524,-0.0003613774,0.10226436,0.002001386,-0.061844446,-0.13054551,-0.055505924,0.01996896,0.04266419,0.019160291,-0.012543622,-0.14410944,-0.07069653,0.023407998,0.006971622,0.02107611,0.014874302,-0.14647241,-0.069711685,0.015566809,-0.0062746885,0.012181529,0.03572343,-0.15272053,-0.065166615,-0.003595375,0.017757518,-0.004814794,0.052324206,-0.17565818,-0.071113355
15,-0.038595684,0.13634442,-0.047770455,-0.16076829,-0.09156092,-0.01011374,-0.0020253272,0.101985656,-0.00024345989,-0.061307427,-0.13038602,-0.053505,0.01807468,0.042248376,0.01706715,-0.01224872,-0.1445732,-0.069053076,0.021394353,0.007325699,0.01903776,0.01479101,-0.14656347,-0.06806359,0.0135741625,-0.005435001,0.010189026,0.035602722,-0.15219945,-0.0630562,-0.0055749626,0.01793367,-0.0068433266,0.052592773,-0.17446266,-0.06862857
16,-0.03793636,0.13869922,-0.047186974,-0.15858456,-0.08926239,-0.00880353,-0.00088714634,0.10098519,0.0006490124,-0.059657857,-0.13176121,-0.054416735,0.018802328,0.040266365,0.017643183,-0.01082177,-0.14727981,-0.070664525,0.021338252,0.006392299,0.01896584,0.015654838,-0.14938024,-0.0698867,0.012793762,-0.005305057,0.009436416,0.03624259,-0.15470581,-0.06454381,-0.0070562726,0.01807848,-0.008427921,0.053412836,-0.17604385,-0.06959571
17,-0.0345856,0.13869374,-0.045994744,-0.1585737,-0.09149582,-0.009439466,0.00092372857,0.09944002,0.0014898917,-0.06115292,-0.13376397,-0.054245338,0.020213496,0.039957177,0.018837264,-0.012845788,-0.14996286,-0.070681885,0.022997888,0.007955564,0.020641606,0.013193302,-0.15212259,-0.07022982,0.01488908,-0.0024666667,0.011554264,0.033827156,-0.15760784,-0.06497727,-0.0047313976,0.021262726,-0.00613614,0.051485345,-0.17933413,-0.07018936
18,-0.033935968,0.14154387,-0.04614585,-0.15499529,-0.08968105,-0.007483686,0.0013821117,0.100081556,0.0015336883,-0.059580795,-0.13268901,-0.05290425,0.020480359,0.04057877,0.01901011,-0.012365714,-0.14958076,-0.06973477,0.0231158,0.009578411,0.020767897,0.012772798,-0.15151787,-0.06953764,0.014954413,-0.00038042292,0.011633407,0.033169676,-0.15637398,-0.064085916,-0.004724231,0.022704426,-0.0061844615,0.051086556,-0.1778992,-0.06926444
19,-0.034783334,0.14160307,-0.04727,-0.15806086,-0.08789499,-0.0057244934,0.0009870008,0.09656424,0.0005447916,-0.061509963,-0.13525432,-0.05429057,0.019763902,0.035800964,0.017963463,-0.013124255,-0.15340944,-0.07214807,0.021901213,0.00606432,0.019506568,0.012346115,-0.15532205,-0.07224149,0.013318436,-0.0025280423,0.01001763,0.033138316,-0.15995029,-0.066534996,-0.0069229724,0.02117421,-0.008532086,0.05158215,-0.18075688,-0.07131848
20,-0.034732044,0.14440443,-0.048716653,-0.15420371,-0.08889937,-0.004257458,-6.7335204e-06,0.09665016,-0.0012168132,-0.060039107,-0.13432637,-0.05213727,0.018410617,0.037068922,0.016408145,-0.013171452,-0.15240124,-0.069940545,0.020684877,0.008886433,0.018273178,0.011310571,-0.15367864,-0.07001367,0.012500306,0.0004232477,0.009204718,0.032020096,-0.15737018,-0.06387581,-0.0073589487,0.022566736,-0.009010862,0.050929602,-0.17787836,-0.06864133
21,-0.03395891,0.14531527,-0.047850203,-0.14997882,-0.08897743,-0.0027810493,0.0013142177,0.09455862,-0.00018092562,-0.057893142,-0.13619891,-0.05318324,0.019376008,0.035217013,0.017222712,-0.012286922,-0.15473285,-0.07153876,0.021134086,0.009066287,0.018688723,0.0112245185,-0.15567243,-0.07173253,0.012564446,0.0014424652,0.009269304,0.031778798,-0.15850674,-0.06507987,-0.007652576,0.02267509,-0.009420804,0.050969053,-0.1780492,-0.06945367
