Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_kappa,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_kappa,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_kappa
13,-0.053326923,-0.08876341,-0.05269716,0.050645433,-0.07222818,0.07708439,-0.047957573,-0.04311401,-0.044613633,0.041066956,-0.100630775,0.048277285,-0.03507224,0.059080683,-0.0259769,0.06600018,-0.13451575,0.027723491,-0.016094929,0.0497127,-0.011034894,0.09772615,-0.14280131,0.026891178,-0.0039681774,0.045212243,0.0030441966,0.115577474,-0.14032723,0.0061071203,0.0074644587,0.044160467,0.012072528,0.12354706,-0.13174804,2.3006927e-05
14,-0.054462805,-0.089979246,-0.053322036,0.050315488,-0.07196361,0.07396914,-0.04853026,-0.043480158,-0.045400728,0.040057268,-0.10228,0.045360126,-0.03558503,0.060501426,-0.026862506,0.06680839,-0.13724054,0.025782239,-0.016953042,0.048118524,-0.0121478075,0.09917633,-0.14492863,0.025797183,-0.005222295,0.046921678,0.0019407752,0.116684854,-0.1417859,0.0038328464,0.0062116515,0.04802595,0.010772869,0.12503472,-0.1332842,-0.0021309806
15,-0.056401044,-0.09078327,-0.054680616,0.050415643,-0.07128405,0.07252189,-0.049901776,-0.044122692,-0.047022667,0.03919934,-0.10261584,0.04442208,-0.036992762,0.062196642,-0.028545804,0.06702915,-0.1385655,0.025361244,-0.0185498,0.047344115,-0.013994352,0.0997205,-0.14600816,0.026009774,-0.007064608,0.048719127,0.00018778081,0.11677263,-0.14273943,0.0027483054,0.004548905,0.051671922,0.009068803,0.12542896,-0.13449828,-0.0035840725
16,-0.05846737,-0.0929011,-0.05605632,0.050847087,-0.07058033,0.07191816,-0.05133541,-0.04542174,-0.048792534,0.038595337,-0.10199551,0.044833746,-0.038630683,0.0637992,-0.030409656,0.06698156,-0.13868745,0.026290312,-0.020347392,0.04634305,-0.016082997,0.099753805,-0.14605166,0.02790254,-0.009117235,0.04898359,-0.0017986385,0.11618818,-0.14280778,0.0036582383,0.002758904,0.053575426,0.0073130773,0.12487437,-0.13487583,-0.0033763242
17,-0.059465177,-0.09621444,-0.0563348,0.05087012,-0.070559226,0.07018142,-0.05160985,-0.047298025,-0.049373526,0.038176063,-0.10212449,0.04408635,-0.039115433,0.064299755,-0.031043576,0.06734787,-0.13903616,0.026380965,-0.021030044,0.044641078,-0.016957592,0.100152,-0.14601074,0.029126946,-0.010086151,0.048592005,-0.002652441,0.11591513,-0.14260727,0.0041949656,0.0019756344,0.05438495,0.0065884385,0.1245985,-0.13511838,-0.0033270174
18,-0.06033932,-0.09922625,-0.056381196,0.050955355,-0.07014087,0.06866488,-0.051685162,-0.04964932,-0.04972386,0.037703276,-0.10178327,0.043557208,-0.039385192,0.064572126,-0.031359483,0.06736967,-0.13896364,0.026294217,-0.021348204,0.04316675,-0.017423866,0.10015167,-0.1457773,0.029941458,-0.010566934,0.04822122,-0.0030224952,0.115283735,-0.14249365,0.004188022,0.0017778606,0.055136774,0.0064668925,0.12396602,-0.13549994,-0.004093999
19,-0.061583113,-0.101505086,-0.056823898,0.050696705,-0.069434926,0.06765432,-0.05212353,-0.05194301,-0.05040401,0.036960784,-0.10135624,0.043377213,-0.039932862,0.0649313,-0.031898096,0.06702051,-0.1388161,0.026264904,-0.021798342,0.04222938,-0.017981125,0.099760346,-0.14558426,0.030524136,-0.011027984,0.04858247,-0.0033932452,0.114313506,-0.14263448,0.00375127,0.0016957242,0.056550626,0.0064205267,0.123090446,-0.13618796,-0.005353778
20,-0.062424574,-0.10365342,-0.05697589,0.050274204,-0.06923507,0.065906525,-0.052231967,-0.053766433,-0.050735205,0.036353234,-0.10166933,0.042365316,-0.040136676,0.06537514,-0.032152403,0.06703462,-0.13917546,0.025684778,-0.022023447,0.041141618,-0.01834899,0.09982743,-0.14567894,0.030822752,-0.011396928,0.048658106,-0.003673211,0.113809824,-0.14274032,0.003262515,0.0015690078,0.05765455,0.006339292,0.12263567,-0.13673443,-0.0065080314
21,-0.06307291,-0.10549936,-0.057214797,0.049810033,-0.06952498,0.064505115,-0.052396532,-0.05501099,-0.051061686,0.03600815,-0.10228343,0.041567903,-0.040371273,0.06572577,-0.03249488,0.06726904,-0.13947177,0.025514202,-0.022393933,0.04008673,-0.018889861,0.10007974,-0.14555755,0.031723842,-0.012008147,0.048022542,-0.0042429473,0.11349798,-0.14236526,0.0039012767,0.001058527,0.057790134,0.0058871508,0.122211054,-0.1367397,-0.006336593
22,-0.06427296,-0.10635512,-0.058093596,0.04860766,-0.06918612,0.06385672,-0.0531337,-0.055935115,-0.051902067,0.03503859,-0.10266457,0.04122437,-0.041005854,0.06613985,-0.033207964,0.06682262,-0.13967423,0.025510298,-0.022965627,0.03966768,-0.019576985,0.099659204,-0.14548874,0.032392606,-0.0125774285,0.048272736,-0.0048107035,0.11267939,-0.14223456,0.004256949,0.00071162946,0.058600437,0.0055163214,0.12143811,-0.1369532,-0.0061876606
23,-0.06566548,-0.10662401,-0.05937945,0.047585856,-0.06976748,0.06357497,-0.054248847,-0.056395546,-0.053084113,0.03451925,-0.10377434,0.04110789,-0.042027462,0.06670106,-0.03433921,0.06692832,-0.14024052,0.025852952,-0.024055626,0.03955772,-0.02078647,0.099790834,-0.14561485,0.033421244,-0.013786317,0.04882034,-0.0060871253,0.11245629,-0.14211453,0.005194958,-0.00049879204,0.059424236,0.004145986,0.12139872,-0.1370559,-0.00483266
24,-0.06714679,-0.10675287,-0.06031424,0.047479846,-0.06922092,0.06397921,-0.055180743,-0.05808299,-0.054026943,0.034140147,-0.10311045,0.041831516,-0.04290205,0.06647926,-0.035132293,0.06645794,-0.13945767,0.026256835,-0.024769949,0.039703228,-0.021491075,0.099077076,-0.14499138,0.033722114,-0.014351165,0.050189633,-0.006724543,0.11142372,-0.14228414,0.004787936,-0.0008313609,0.060897786,0.0035963908,0.12076255,-0.13786222,-0.0052054613
