Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_kappa,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_kappa,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_kappa
13,-0.0657939,0.12619847,-0.035113823,0.16714714,-0.2617187,-0.010624606,-0.039566502,0.12983221,-0.03970831,0.15230267,-0.18223853,0.042890947,-0.042627648,0.102095835,-0.045348782,0.17349379,-0.17745152,0.035656497,-0.046584763,0.076458804,-0.054273486,0.19529827,-0.15491165,0.07420823,-0.062194023,0.07497427,-0.0510627,0.20026504,-0.16462526,0.008385022,-0.061854303,0.08870478,-0.060901765,0.2057052,-0.1964174,0.033907548
14,-0.064917676,0.12597418,-0.0345678,0.17141901,-0.26222828,-0.009242986,-0.040234204,0.13140899,-0.040458262,0.15382735,-0.17962676,0.04282195,-0.044035047,0.099774875,-0.048102744,0.17357573,-0.17967778,0.037552908,-0.04891983,0.07427087,-0.056276377,0.19630753,-0.15731373,0.073628984,-0.06379464,0.07515508,-0.052141212,0.20270692,-0.1664701,0.008590775,-0.06337041,0.08815551,-0.062063497,0.20756435,-0.19990005,0.03469555
15,-0.06334223,0.12642603,-0.03315809,0.17470005,-0.26449242,-0.010663655,-0.039594132,0.13301174,-0.03987975,0.15502325,-0.17988592,0.03890068,-0.04368008,0.09839306,-0.048849452,0.1750842,-0.18149388,0.035622995,-0.04964953,0.071611,-0.05728487,0.19781522,-0.1576884,0.07374686,-0.06505246,0.07491389,-0.052550912,0.20427164,-0.16675888,0.008200172,-0.06420835,0.0865169,-0.062336873,0.20879942,-0.20131543,0.034850676
16,-0.061300233,0.1253452,-0.031710617,0.17764972,-0.26509944,-0.012445563,-0.038984597,0.13263863,-0.040219836,0.15596512,-0.17842402,0.038690936,-0.044407595,0.09498784,-0.049844366,0.17469764,-0.1829734,0.034581866,-0.050256275,0.07121398,-0.057153806,0.19779007,-0.1591744,0.06929256,-0.06452172,0.07449546,-0.052073073,0.20681329,-0.17035201,0.0049971254,-0.06394765,0.083286,-0.062128164,0.21115611,-0.20580088,0.034783278
17,-0.059708253,0.12656568,-0.029970342,0.17932588,-0.26920626,-0.0150190685,-0.03736202,0.1357519,-0.039081626,0.15597893,-0.17985128,0.034876987,-0.04307767,0.09485831,-0.049683336,0.17577673,-0.18537003,0.031116625,-0.04985346,0.06878423,-0.057889316,0.19948709,-0.15979594,0.071041055,-0.06549918,0.07278984,-0.05165527,0.20842382,-0.16982281,0.0051163617,-0.064133495,0.081069864,-0.06117913,0.21188305,-0.20532677,0.034394264
18,-0.05698297,0.12454241,-0.026575495,0.18294722,-0.27276343,-0.015571815,-0.03478888,0.13679104,-0.038008224,0.15964921,-0.17706951,0.035042528,-0.04306636,0.08930904,-0.05063878,0.1776363,-0.1851175,0.03147468,-0.05136578,0.06451101,-0.058898903,0.2006587,-0.1589534,0.07160692,-0.06708206,0.07449899,-0.05219892,0.2098538,-0.17101829,0.0027765753,-0.06490959,0.0811845,-0.06178365,0.21362235,-0.2084831,0.034245428
19,-0.057381764,0.123096295,-0.026149565,0.18538368,-0.277802,-0.009736243,-0.034583617,0.13721249,-0.038446844,0.16188899,-0.18027543,0.036513105,-0.04363535,0.086239085,-0.05112612,0.17987014,-0.18630412,0.030106904,-0.05212522,0.06276032,-0.060018484,0.20226684,-0.159545,0.071639284,-0.068428576,0.0713728,-0.05230804,0.2134763,-0.17342156,0.0011000435,-0.0658216,0.07541069,-0.061649676,0.21756849,-0.2098005,0.035196383
20,-0.0557023,0.122461945,-0.023720512,0.18720722,-0.28227895,-0.008409671,-0.032333687,0.1390315,-0.036937453,0.1646047,-0.1813583,0.035562772,-0.042523798,0.08351837,-0.050387595,0.18275924,-0.1854939,0.029779442,-0.052252013,0.059686705,-0.061176404,0.20333011,-0.15761405,0.07744711,-0.0704249,0.06914491,-0.052319407,0.21379599,-0.17420189,0.0011839842,-0.065820344,0.07286506,-0.059839945,0.21843842,-0.2097589,0.032193676
21,-0.053423006,0.118766904,-0.021277435,0.19246088,-0.28490105,-0.008969173,-0.03125851,0.13616478,-0.03699865,0.1701578,-0.17713036,0.03790786,-0.044283025,0.07731992,-0.051910218,0.18458155,-0.18392465,0.03180012,-0.054631546,0.057759237,-0.062407203,0.20397246,-0.15718032,0.075591795,-0.071942486,0.07053603,-0.053875692,0.21579964,-0.17753252,-0.00084914104,-0.067439474,0.07290467,-0.061459053,0.2209437,-0.2144921,0.031411223
22,-0.052066967,0.117758155,-0.019633155,0.19663934,-0.28906846,-0.008426114,-0.030476348,0.13641709,-0.0365155,0.17430241,-0.17948335,0.03626524,-0.0443701,0.074620284,-0.052115392,0.18861127,-0.18323581,0.031617735,-0.055980407,0.055970952,-0.06435616,0.20576255,-0.15665598,0.078066036,-0.07450683,0.06928852,-0.055397324,0.21754457,-0.17871551,9.842473e-05,-0.06931958,0.07007516,-0.062226765,0.22304732,-0.21594965,0.031987857
