Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
14,0.056422018,0.28847152,0.056210607,0.26706818,-0.0048453338,-0.035934858,0.059353217,0.20748964,0.05819427,0.25718307,0.028984237,0.022023924,0.061627958,0.045430746,0.06161809,0.22299491,0.056759696,0.049068853,0.06398408,0.042538106,0.06420108,0.18902318,0.07982097,0.06223311,0.065377235,0.045382123,0.06598347,0.1641647,0.1085792,0.0668837,0.06587741,0.11011083,0.06848997,0.15413192,0.19405341,0.07864049
15,0.05770101,0.2880724,0.057012912,0.26717743,-0.002293909,-0.040579267,0.060359586,0.20821925,0.058789786,0.2584909,0.031846315,0.021345178,0.062432393,0.04576066,0.062354185,0.22373815,0.059601013,0.049973093,0.06487471,0.04263239,0.06504257,0.18914762,0.082330905,0.06407986,0.06631616,0.045377605,0.066856995,0.16395617,0.110686526,0.06914001,0.06680706,0.11031246,0.06929659,0.15383406,0.19590516,0.08094722
16,0.05867419,0.28801623,0.05764369,0.26689234,-0.0037354124,-0.04570305,0.060859606,0.20958966,0.059014764,0.25961372,0.031105064,0.019908486,0.062581025,0.04620246,0.062487084,0.22479348,0.05861808,0.049766958,0.064916976,0.042235494,0.06510483,0.19019288,0.080710836,0.06450622,0.06626562,0.044303495,0.06678664,0.16523826,0.1083526,0.06961326,0.06660299,0.10898023,0.06888701,0.15553291,0.19312418,0.082667686
17,0.060919035,0.28760707,0.05908793,0.26620552,-0.003250863,-0.048857722,0.062322956,0.21048242,0.059868213,0.2605004,0.032120474,0.019855553,0.063498594,0.046778012,0.06331188,0.22540778,0.05947971,0.050971154,0.065774985,0.04250481,0.065921575,0.19051588,0.08107918,0.0663929,0.067079455,0.044261802,0.06755312,0.1655297,0.10817683,0.071669355,0.06733932,0.10893418,0.06949393,0.15597644,0.19258006,0.08545889
18,0.060897924,0.28698167,0.05905185,0.26424617,-0.0048372727,-0.053221926,0.06214912,0.21111386,0.059460238,0.25982052,0.03112514,0.018567692,0.063023426,0.04690872,0.06281494,0.22476959,0.05794421,0.050613075,0.06520083,0.04185249,0.065375514,0.19014716,0.07856949,0.0664223,0.066437826,0.04289612,0.066900074,0.1657042,0.10458236,0.071540356,0.06658042,0.107369676,0.068490066,0.15673962,0.18772177,0.08476952
19,0.06270387,0.28602147,0.060192958,0.26234573,-0.0064783324,-0.05466177,0.063128516,0.2108009,0.05983645,0.2596439,0.03013279,0.019198243,0.063316554,0.04682823,0.06300177,0.2246112,0.056551065,0.05203668,0.06529916,0.0415667,0.06543196,0.19013025,0.07640004,0.06812765,0.06639302,0.04227273,0.06680989,0.16609368,0.10155679,0.07307271,0.06638004,0.10660254,0.068090655,0.15763146,0.18379965,0.08575307
20,0.062047683,0.28419355,0.0596671,0.2592245,-0.0044659693,-0.059193656,0.06277571,0.21024421,0.05912919,0.2581887,0.032520525,0.01827382,0.06284002,0.046511743,0.062436286,0.22276022,0.058395334,0.05244869,0.0649093,0.04098653,0.06500652,0.18806154,0.07720718,0.06919743,0.066079065,0.041435406,0.066441014,0.16421852,0.10116831,0.074214764,0.06608472,0.105995126,0.06754426,0.1560491,0.18176764,0.086387135
21,0.065030076,0.2838137,0.061638713,0.2580522,-0.008851941,-0.060883995,0.06433081,0.21138102,0.059886385,0.25890225,0.029148268,0.018367568,0.06328922,0.047323596,0.06277572,0.22378336,0.05469477,0.053149987,0.064968966,0.041129775,0.0650537,0.18955818,0.072780676,0.070074454,0.06586187,0.040653076,0.066217236,0.16641271,0.096012376,0.074825965,0.065603204,0.1045081,0.06690246,0.15903363,0.17621808,0.08614119
22,0.06617857,0.28195876,0.062303707,0.25574708,-0.007923749,-0.06378092,0.065053456,0.21096005,0.05989075,0.2585045,0.030685943,0.018218676,0.06343027,0.047420193,0.06275963,0.22303222,0.055870667,0.054101743,0.06505005,0.041189957,0.06505688,0.18857333,0.073129736,0.071538895,0.065911755,0.040413495,0.06621267,0.16558261,0.09543628,0.076325834,0.06561323,0.10413609,0.06676119,0.158515,0.17455357,0.08727362
23,0.06535267,0.27948985,0.06160776,0.25240296,-0.00800594,-0.067536265,0.06435665,0.20966089,0.058757212,0.2569851,0.031245446,0.017352343,0.06238406,0.046776235,0.061591096,0.22128996,0.05580425,0.054215133,0.06393718,0.040319957,0.06389184,0.1869211,0.071886174,0.0720071,0.0647563,0.039117206,0.06500879,0.16447131,0.09287896,0.07664468,0.06439367,0.102651685,0.065288454,0.15802315,0.17028792,0.086878635
24,0.06916997,0.27899492,0.06416931,0.25091633,-0.009903994,-0.06816097,0.06670311,0.21080278,0.05998341,0.25723654,0.030189987,0.018048989,0.06349747,0.04805441,0.06251689,0.22156093,0.054431006,0.055527844,0.06475009,0.041338976,0.06464136,0.18737972,0.069789134,0.073561944,0.06538014,0.039407022,0.06560918,0.16539444,0.09008651,0.078059986,0.06486065,0.10243945,0.06568182,0.1594999,0.16700934,0.08775321
25,0.068874344,0.27644593,0.0638269,0.24743104,-0.009527383,-0.07106809,0.06638523,0.20931798,0.059063755,0.2556732,0.031219166,0.017603304,0.06270082,0.047491327,0.061557423,0.21972008,0.054863818,0.05599469,0.063877046,0.040749587,0.06368941,0.18555203,0.06906918,0.07436378,0.06446215,0.038476255,0.06463487,0.16405046,0.088079125,0.07872319,0.06389039,0.101343215,0.06448708,0.15873745,0.16332057,0.08779374
26,0.07174571,0.27546966,0.06574499,0.24474078,-0.010288306,-0.07184583,0.06818982,0.20968474,0.05981112,0.25491083,0.031236734,0.018326875,0.06344769,0.04830051,0.062105846,0.21888141,0.054405157,0.05743177,0.06440609,0.04141358,0.06414753,0.18485935,0.06765584,0.07608797,0.06486665,0.03856005,0.06500126,0.16386722,0.08569152,0.08029387,0.064183265,0.10118958,0.06464101,0.1591352,0.15994915,0.08872911
27,0.073571175,0.27461043,0.0669604,0.2415032,-0.009406579,-0.07454027,0.069439046,0.21118726,0.060108908,0.25309592,0.03276824,0.017716527,0.06389575,0.04977456,0.062384784,0.21683548,0.055304576,0.057699,0.06478963,0.042362798,0.06449907,0.18292952,0.0673774,0.07680399,0.06525787,0.038629666,0.06537805,0.16247796,0.08422524,0.08095702,0.064563155,0.101135075,0.06488966,0.15829043,0.15714332,0.08877147
28,0.074883506,0.27359116,0.067810714,0.23850702,-0.011648906,-0.07715963,0.07007349,0.21229677,0.059916437,0.25155705,0.03144378,0.016807573,0.06361345,0.05082455,0.06195781,0.21541446,0.05330959,0.057372805,0.064267494,0.042638723,0.06396647,0.18209177,0.064140216,0.0766727,0.06460173,0.037754074,0.064722605,0.1626161,0.0797529,0.08055056,0.06377258,0.099699415,0.06392473,0.15936401,0.15142776,0.08748713
29,0.07499457,0.2709881,0.06772557,0.23501123,-0.0111465445,-0.08032363,0.070018,0.21142134,0.059071988,0.25031197,0.032823905,0.016082693,0.062919594,0.050749503,0.06105961,0.21385072,0.054146856,0.057634786,0.063477315,0.042408817,0.06308794,0.18049474,0.0637899,0.07736008,0.06376581,0.036944054,0.063837685,0.16151617,0.078111194,0.081153505,0.06288965,0.09853059,0.06284434,0.158896,0.14828733,0.0875691
30,0.07728388,0.26892725,0.06918986,0.23294249,-0.013963179,-0.0811097,0.07121175,0.21036172,0.05919134,0.25115117,0.031250745,0.016753027,0.06289021,0.050614975,0.060777023,0.21471223,0.052329503,0.058963228,0.06305541,0.042284857,0.06254388,0.18150726,0.061177876,0.07887955,0.06307268,0.03624098,0.06308814,0.16307822,0.07465403,0.08244969,0.061982695,0.09701899,0.06177259,0.1612221,0.14421536,0.08832796
31,0.07629164,0.2674719,0.06839711,0.22883059,-0.013954297,-0.086381204,0.07042132,0.21219824,0.057795588,0.24780917,0.03207308,0.013947209,0.06163911,0.052029207,0.05941663,0.21124151,0.052192044,0.05699269,0.061791066,0.042452853,0.06131269,0.17863654,0.05932514,0.077309266,0.06185278,0.034915954,0.061884712,0.16135986,0.07107385,0.080687165,0.060746133,0.095351316,0.06031891,0.16052704,0.13866961,0.085686445
32,0.07791497,0.26769528,0.069562085,0.22522302,-0.018236263,-0.088097334,0.07120642,0.2140845,0.057744958,0.24634175,0.028995696,0.013438296,0.06134435,0.053131536,0.05900662,0.21028939,0.048380446,0.057034403,0.061149728,0.04223787,0.06070443,0.17873102,0.05416835,0.07750742,0.060998093,0.033339866,0.061018653,0.16286981,0.06465371,0.08044551,0.059633113,0.09354564,0.05887918,0.16332911,0.13129167,0.08618817
33,0.080056034,0.26682943,0.071064115,0.21902497,-0.014371006,-0.08799256,0.07295104,0.21289898,0.058313083,0.243518,0.03346491,0.015703367,0.06233388,0.052926533,0.059706956,0.20704806,0.05206632,0.060394093,0.062168814,0.04239812,0.06159334,0.17518489,0.056490663,0.08141339,0.062080048,0.033764165,0.061978836,0.15961888,0.06558413,0.0842401,0.060699303,0.09530817,0.059546176,0.16049007,0.1307398,0.08751851
34,0.08192304,0.2664619,0.07240386,0.21462132,-0.014853011,-0.089719154,0.07419662,0.21387544,0.05855996,0.24229929,0.03411394,0.01612051,0.06265376,0.05366474,0.05983004,0.20586331,0.052080773,0.061793968,0.06232156,0.042426113,0.061713535,0.17427891,0.055210836,0.08327058,0.062157873,0.033023182,0.06200344,0.15949523,0.063036196,0.085875385,0.06063275,0.09488738,0.059127096,0.16121891,0.12720165,0.087436624
35,0.08392372,0.26598725,0.07385375,0.21026759,-0.013912571,-0.09156725,0.07565874,0.2149474,0.05893734,0.24142857,0.036180325,0.01651048,0.06321076,0.054539327,0.060160197,0.2048393,0.05359224,0.06332776,0.062768534,0.042687695,0.062108677,0.17322844,0.05549438,0.08539041,0.06258166,0.0325879,0.06236803,0.15895003,0.062106967,0.08788435,0.06096619,0.09482216,0.05914237,0.16131952,0.1253033,0.08831389
