Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_kappa,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_kappa,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_kappa
1,-0.03396485,0.038221877,-0.03322133,0.04393209,-0.042602804,0.034329943,-0.032778196,0.042177465,-0.03187293,0.044882152,-0.043893725,0.03097612,-0.031400304,0.04481738,-0.030802336,0.046471506,-0.04462663,0.02739776,-0.030446565,0.04520038,-0.030478818,0.048069626,-0.044710815,0.026028547,-0.030417798,0.043537457,-0.03096115,0.049149267,-0.044595502,0.027362952,-0.03132321,0.040820543,-0.031892255,0.04970404,-0.044647127,0.030397333
2,-0.040694535,0.042520966,-0.038290195,0.06779735,-0.07851448,0.030720308,-0.03661198,0.057864342,-0.032174252,0.069080405,-0.083666764,0.016079118,-0.030273888,0.07375598,-0.026467007,0.07556823,-0.08713827,0.0076582576,-0.024949834,0.07607263,-0.023681056,0.083474174,-0.088111326,0.004897058,-0.023320919,0.06672077,-0.024584705,0.089153275,-0.0881975,0.0079737445,-0.026213473,0.053967632,-0.028224794,0.09236958,-0.087853454,0.01505971
3,-0.06345975,0.036922663,-0.061293077,0.09051642,-0.10461358,0.048940197,-0.05914628,0.05266382,-0.0531028,0.08899574,-0.10519631,0.02686721,-0.050722156,0.08607206,-0.04345899,0.09340959,-0.1085343,0.014563564,-0.041379534,0.09966092,-0.035617832,0.102426425,-0.11074896,0.009904271,-0.034912344,0.090274304,-0.032825407,0.11167428,-0.11133947,0.013030022,-0.03513919,0.07292509,-0.03640841,0.11859203,-0.1087291,0.021536896
4,-0.06238247,0.03596617,-0.061381087,0.10128627,-0.119672015,0.04388492,-0.05911808,0.044222303,-0.05304288,0.0999845,-0.11961607,0.018890817,-0.050582137,0.08351858,-0.04089589,0.103768766,-0.12272805,0.0047541303,-0.038583808,0.10646177,-0.028043257,0.11293532,-0.12566024,-0.0014668889,-0.026883887,0.09852195,-0.020464264,0.124777906,-0.12749264,0.0005160972,-0.02257452,0.07791961,-0.02177616,0.13461077,-0.1245732,0.0075259954
5,-0.07313583,0.042679906,-0.0732454,0.112562664,-0.12746418,0.055047926,-0.071290374,0.034232713,-0.06641704,0.109229326,-0.12033636,0.02788708,-0.06435693,0.07444311,-0.054882433,0.108119905,-0.122603744,0.011877082,-0.052545834,0.10780215,-0.03939129,0.11269492,-0.1258223,0.0035040223,-0.037492882,0.10736072,-0.026093792,0.12314833,-0.12730506,0.0042187157,-0.026686283,0.08803725,-0.02231663,0.13499372,-0.12260934,0.007533652
6,-0.07472396,0.050411325,-0.07533329,0.11884346,-0.1311011,0.051034436,-0.07377013,0.029588483,-0.06979066,0.11468901,-0.11973321,0.023876052,-0.068243444,0.06724771,-0.058761027,0.10987777,-0.12105907,0.00735461,-0.05652001,0.10906186,-0.040810756,0.110592976,-0.12505952,-0.0042060865,-0.038159832,0.113467604,-0.022847703,0.12085615,-0.12741156,-0.0047987853,-0.022039762,0.093648076,-0.0153052015,0.13444513,-0.12280714,-0.004462221
7,-0.080244295,0.0598072,-0.08077402,0.12587693,-0.13874711,0.050605115,-0.07927494,0.030152375,-0.076226,0.1235067,-0.122263476,0.02467002,-0.07529976,0.057949502,-0.06719166,0.118708916,-0.12011143,0.013222985,-0.066023186,0.09993634,-0.050667625,0.116634116,-0.12154304,0.0013712856,-0.04913743,0.1105401,-0.032608148,0.122503325,-0.122507915,6.4347114e-05,-0.032280833,0.0955741,-0.023572808,0.13386136,-0.116647646,-0.0008069631
8,-0.08086488,0.067661576,-0.081067815,0.12987693,-0.14617538,0.042679098,-0.07939562,0.03171195,-0.07705389,0.13065755,-0.1260065,0.018362692,-0.07668411,0.049377985,-0.06946098,0.12636657,-0.119889885,0.012396588,-0.06935034,0.09263499,-0.053504802,0.12118533,-0.11892127,-0.0010819577,-0.052917518,0.10848652,-0.034663804,0.12397446,-0.11941247,-0.0051659183,-0.034725413,0.09622554,-0.024361642,0.13409767,-0.113553815,-0.0075510023
9,-0.084091045,0.07121698,-0.08408571,0.13414621,-0.15408769,0.041655667,-0.08216398,0.033584755,-0.08030887,0.13744798,-0.12985112,0.018272487,-0.080343224,0.04379315,-0.07412279,0.1338971,-0.120446496,0.017092047,-0.07490503,0.084778,-0.059508488,0.1268156,-0.11638954,0.004071458,-0.060006175,0.10577247,-0.04095717,0.12563074,-0.11500125,-0.0024670302,-0.041641865,0.09785746,-0.029850869,0.13368815,-0.10922799,-0.006369777
10,-0.08410915,0.07010283,-0.0838979,0.13641244,-0.16017647,0.03842168,-0.08171326,0.03521337,-0.08004158,0.1419921,-0.13395983,0.014633026,-0.080291025,0.03947437,-0.074578725,0.13976398,-0.1219795,0.016812727,-0.076033466,0.07845314,-0.060438067,0.13150193,-0.1150421,0.0043529766,-0.06184649,0.10374639,-0.04140936,0.127538,-0.11204141,-0.003995613,-0.042678684,0.09871737,-0.029311938,0.13450699,-0.10659456,-0.009308777
11,-0.08444603,0.06455683,-0.08407516,0.13836361,-0.1642707,0.038555276,-0.08178639,0.036589283,-0.079952694,0.14490005,-0.13704567,0.013083328,-0.08028329,0.038638122,-0.074778154,0.14387394,-0.12373667,0.016522473,-0.076627076,0.07449994,-0.061019663,0.13576901,-0.1145752,0.0054208664,-0.06318716,0.10199065,-0.041885972,0.12998238,-0.10950461,-0.0030349875,-0.043839637,0.099401206,-0.029247856,0.13599224,-0.10387982,-0.009244069
12,-0.08494699,0.061129067,-0.08456447,0.13936009,-0.16619353,0.039287623,-0.08222107,0.036574967,-0.08028997,0.14641695,-0.13814193,0.013116101,-0.08070252,0.037670366,-0.075268984,0.1458505,-0.12420672,0.017202903,-0.07733848,0.07265412,-0.061565522,0.13775218,-0.11395892,0.0063333237,-0.06412276,0.10154854,-0.04216356,0.13090272,-0.10768753,-0.0024617496,-0.04444614,0.10086914,-0.028851047,0.13610137,-0.10197748,-0.010145355
