Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa
1,-0.05617302,0.0015817076,-0.05617302,0.028528202,-0.030847806,0.060073443,-0.055969622,0.0015817076,-0.055969626,0.04286539,-0.031413004,0.060073443
2,-0.042789504,0.0015817076,-0.042789504,-0.014517224,-0.08644602,0.03766648,-0.041753244,0.0015817076,-0.041753244,0.05794576,-0.09157626,0.03763443
3,-0.071404934,0.0015817076,-0.07140493,-0.05420217,-0.11957275,0.043663714,-0.0691123,0.0015817076,-0.0691123,0.050619274,-0.13023043,0.043486957
4,-0.10271177,0.0015817076,-0.10271176,-0.07825618,-0.13236721,0.03480524,-0.09948753,0.0015817076,-0.09948753,0.03214758,-0.14893696,0.033503722
5,-0.14074416,0.0015817076,-0.14074415,-0.09020458,-0.12736398,0.03380019,-0.13712823,0.0015817076,-0.13712823,0.0050141625,-0.15382689,0.0283621
6,-0.17776203,0.0015817076,-0.17776202,-0.09828438,-0.13222891,0.030906167,-0.17386077,0.0015817076,-0.17386077,-0.0060074134,-0.16241956,0.024170352
7,-0.20795324,0.0015817076,-0.20795318,-0.105474584,-0.14455445,0.02258944,-0.20387937,0.0015817076,-0.20387937,-0.004243898,-0.1743401,0.017137278
8,-0.24773932,0.0015817076,-0.24773924,-0.10969092,-0.1624341,0.017333977,-0.24380572,0.0015817076,-0.24380572,0.0072763283,-0.18735687,0.013074582
9,-0.2772973,0.0015817076,-0.27729723,-0.115055025,-0.18238664,0.01173622,-0.273604,0.0015817076,-0.273604,0.021358758,-0.20048045,0.008114438
10,-0.30071926,0.0015817076,-0.3007192,-0.12036349,-0.19945832,0.0110562295,-0.29720387,0.0015817076,-0.29720387,0.033435218,-0.21120225,0.00832068
11,-0.31878126,0.0015817076,-0.3187812,-0.123743005,-0.22072783,0.0114151435,-0.31578228,0.0015817076,-0.31578228,0.05082342,-0.22135298,0.009049913
12,-0.32740128,0.0015817076,-0.32740122,-0.13016427,-0.22631288,0.005671515,-0.323971,0.0015817076,-0.323971,0.052064784,-0.22699341,0.005646537
13,-0.34160867,0.0015817076,-0.3416086,-0.13292809,-0.2358833,0.00076235004,-0.33829638,0.0015817076,-0.33829638,0.05858485,-0.23263039,0.0079320725
14,-0.35028404,0.0015817076,-0.35028398,-0.13596824,-0.24256615,-0.004658516,-0.34692606,0.0015817076,-0.34692606,0.061436735,-0.23850584,0.008182876
15,-0.357457,0.0015817076,-0.35745695,-0.13849863,-0.24606192,-0.013150852,-0.35397148,0.0015817076,-0.35397148,0.060771275,-0.24516293,0.014044945
16,-0.3662054,0.0015817076,-0.36620533,-0.1417971,-0.24387683,-0.017697923,-0.36226082,0.0015817076,-0.36226082,0.052589666,-0.25355256,0.019307258
17,-0.3734512,0.0015817076,-0.37345114,-0.14574768,-0.23751354,-0.021154864,-0.36878958,0.0015817076,-0.36878958,0.03937071,-0.26181656,0.021244548
18,-0.3762244,0.0015817076,-0.37622434,-0.14587396,-0.23285794,-0.025334995,-0.37133554,0.0015817076,-0.37133554,0.030356096,-0.2722321,0.022601375
19,-0.37991744,0.0015817076,-0.37991738,-0.14449416,-0.22887559,-0.026465701,-0.37499005,0.0015817076,-0.37499005,0.022118619,-0.28384438,0.02594199
20,-0.37829828,0.0015817076,-0.37829822,-0.14173926,-0.22408807,-0.029639296,-0.37343824,0.0015817076,-0.37343824,0.014390756,-0.29419163,0.025286855
21,-0.37933165,0.0015817076,-0.3793316,-0.1391422,-0.21995442,-0.030078106,-0.37455243,0.0015817076,-0.37455243,0.006547369,-0.30450845,0.025739929
22,-0.3787773,0.0015817076,-0.37877724,-0.13711086,-0.2152855,-0.031836774,-0.37400028,0.0015817076,-0.37400028,-0.001364118,-0.31250626,0.024352487
23,-0.37951064,0.0015817076,-0.37951058,-0.13407515,-0.2117712,-0.03144546,-0.37487724,0.0015817076,-0.37487724,-0.0073032803,-0.32069147,0.025030872
24,-0.37902182,0.0015817076,-0.37902176,-0.13190693,-0.20824239,-0.030767642,-0.37445015,0.0015817076,-0.37445015,-0.012697426,-0.32637355,0.027001368
25,-0.3790604,0.0015817076,-0.37906033,-0.1296286,-0.20507771,-0.031597912,-0.37457168,0.0015817076,-0.37457168,-0.017756257,-0.33173797,0.027470833
26,-0.37979445,0.0015817076,-0.3797944,-0.12769498,-0.20207165,-0.032658968,-0.37536144,0.0015817076,-0.37536144,-0.022611644,-0.33607918,0.026423363
27,-0.38065624,0.0015817076,-0.38065618,-0.124745496,-0.20057273,-0.032611307,-0.37642616,0.0015817076,-0.37642616,-0.025363674,-0.3411771,0.027117968
28,-0.38286284,0.0015817076,-0.38286278,-0.122207664,-0.1989613,-0.032190125,-0.3787902,0.0015817076,-0.3787902,-0.028473813,-0.3457232,0.027330978
29,-0.38228932,0.0015817076,-0.38228926,-0.11946295,-0.196728,-0.033035643,-0.37837613,0.0015817076,-0.37837613,-0.03082199,-0.3485375,0.02658082
30,-0.38164538,0.0015817076,-0.38164532,-0.11702428,-0.19483785,-0.03247088,-0.37787676,0.0015817076,-0.37787676,-0.032951325,-0.35094383,0.026896527
31,-0.3807003,0.0015817076,-0.38070023,-0.1146375,-0.19296753,-0.031902537,-0.37707293,0.0015817076,-0.37707293,-0.03471311,-0.35287926,0.0267515
32,-0.3793401,0.0015817076,-0.37934005,-0.1128725,-0.19104843,-0.03179869,-0.3758003,0.0015817076,-0.3758003,-0.036379114,-0.3537602,0.026290247
33,-0.3779272,0.0015817076,-0.37792715,-0.11122262,-0.18934779,-0.031598832,-0.37447247,0.0015817076,-0.37447247,-0.037736338,-0.35446414,0.02566864
34,-0.37736025,0.0015817076,-0.3773602,-0.10964273,-0.18822996,-0.031191409,-0.37400097,0.0015817076,-0.37400097,-0.038635615,-0.35541156,0.025005288
35,-0.37781826,0.0015817076,-0.3778182,-0.10755668,-0.18779138,-0.030134743,-0.37461463,0.0015817076,-0.37461463,-0.03871301,-0.3571804,0.025606532
