Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
1,0.04601219,0.04042615,0.04601603,0.048896916,0.04270929,0.040875107,0.04606492,0.041314583,0.04608282,0.04870451,0.034847677,0.035520088,0.046124477,0.042530864,0.04615244,0.048342712,0.0237549,0.027020179,0.04619085,0.043843135,0.046219066,0.047829494,0.01494425,0.018450556,0.04625249,0.04497689,0.04627044,0.04724405,0.0051523666,0.012101665,0.046295065,0.045761287,0.046297394,0.047005918,-0.03930949,0.0010990478
2,0.09376197,0.029820649,0.093687795,0.09103732,0.082116604,0.08541041,0.09385237,0.03762253,0.09374275,0.089164816,0.028159332,0.072432585,0.09379318,0.051167503,0.09361397,0.08612082,-0.0068586795,0.02113962,0.09363623,0.06393496,0.09332577,0.083362676,-0.022391513,-0.012709841,0.09335023,0.07212637,0.092872106,0.081822835,-0.035560213,-0.023738524,0.09284505,0.076280706,0.09228325,0.08329553,-0.084529355,0.0011783083
3,0.12396681,-0.00020395126,0.12379894,0.12147403,0.12972988,0.12695634,0.12539192,0.016474731,0.12401225,0.116269246,0.060537893,0.11414685,0.123807184,0.04670517,0.12115285,0.11046154,0.0064548785,0.05333095,0.120469935,0.06989404,0.11655739,0.10962405,-0.021131057,0.0009929298,0.11596042,0.08199486,0.110587716,0.11189809,-0.043408655,-0.012875592,0.10953837,0.08992171,0.103794515,0.11663344,-0.1151193,0.00092402636
4,0.11640413,-0.023894828,0.11605576,0.13902003,0.1689062,0.1325032,0.121094525,0.0034752125,0.11791853,0.12913439,0.09917529,0.1271961,0.117116444,0.045685686,0.11162566,0.12154945,0.040770542,0.08585032,0.1099701,0.067735754,0.10277435,0.12650834,0.0074843336,0.028685112,0.10165683,0.078066565,0.091894194,0.13387588,-0.02105568,0.008153677,0.09010159,0.090922184,0.07946667,0.13994944,-0.11307131,0.0008701503
5,0.10507874,-0.04019685,0.10456139,0.14817588,0.18044896,0.12382037,0.11234707,-0.002925476,0.10786661,0.13352303,0.11619361,0.12894237,0.10613742,0.047562648,0.09888872,0.12446889,0.063485466,0.105421364,0.096600614,0.063336,0.087513864,0.13470618,0.0294926,0.044586767,0.08619337,0.07174586,0.0736206,0.14555599,-0.0010553775,0.01785783,0.07144534,0.08888105,0.057723597,0.15192239,-0.103389636,0.0011010936
6,0.10962507,-0.047698256,0.10806881,0.1533731,0.16778144,0.12713198,0.11573794,-0.0057640155,0.11058624,0.13463917,0.107044145,0.15467212,0.107460596,0.041343413,0.10058903,0.126604,0.06020652,0.13128275,0.099611476,0.047801502,0.09009464,0.1399569,0.02238071,0.044588793,0.089693226,0.061489716,0.075035326,0.14982767,-0.009025148,0.013229651,0.07298613,0.08611088,0.057248395,0.15551014,-0.11224907,0.0010393504
7,0.11892873,-0.04929077,0.11590518,0.15566343,0.14851706,0.1326892,0.121995434,-0.0036719556,0.116416685,0.1329137,0.093418635,0.19334124,0.11028897,0.037675407,0.10501214,0.1262025,0.055654023,0.17479631,0.10505531,0.028502226,0.096387416,0.1435608,0.013840807,0.053318862,0.09699249,0.04655222,0.08153343,0.15125611,-0.0176004,0.01019346,0.079573296,0.080252066,0.063059874,0.15444498,-0.116562515,0.0010920186
8,0.12265428,-0.050696194,0.11870078,0.15676434,0.13399576,0.122903526,0.12438806,0.0007036428,0.11850208,0.13001543,0.08745623,0.22064146,0.10760374,0.046907887,0.10373959,0.12070623,0.06531402,0.22686845,0.10066772,0.020750346,0.09309553,0.14259888,0.026022311,0.08584385,0.09336696,0.034387697,0.07834777,0.15071902,-0.0045969584,0.018215997,0.0760136,0.07358094,0.060164075,0.15080254,-0.099182,0.0008873914
9,0.12178908,-0.0526713,0.117490485,0.15703705,0.12506449,0.11109728,0.1232895,0.0035351724,0.11714699,0.12769732,0.08496036,0.22910774,0.10344003,0.05372279,0.10016564,0.11663936,0.074258685,0.2510013,0.094870515,0.016644418,0.08780317,0.14135595,0.03749245,0.10170837,0.087602615,0.027579002,0.072733305,0.14979729,0.008003294,0.023285288,0.07007482,0.06994417,0.054498725,0.1480887,-0.085150704,0.00069539476
10,0.11918091,-0.054935303,0.11492701,0.15615772,0.11756538,0.1038775,0.12036096,0.003610243,0.113979034,0.12601982,0.07955911,0.2239322,0.10064654,0.050033145,0.09703922,0.117298104,0.072896205,0.23970233,0.094626665,0.006389158,0.08759699,0.14384027,0.033186942,0.08294075,0.088230096,0.02313213,0.07280052,0.14999193,0.003698424,0.014960819,0.07028764,0.068774305,0.05366969,0.14825948,-0.09271718,0.0005973863
