Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa
1,-0.06324844,0.0015817076,-0.06324843,0.015878139,-0.044304423,0.05997475,-0.0629645,0.0015817076,-0.06296451,0.04913228,-0.042572428,0.05912017
2,-0.07035699,0.0015817076,-0.07035698,-0.0025197016,-0.118340686,0.03171162,-0.068499446,0.0015817076,-0.06849946,0.118947715,-0.111186616,0.029544404
3,-0.123855345,0.0015817076,-0.12385533,-0.00080831326,-0.18581426,0.038511507,-0.12127759,0.0015817076,-0.12127761,0.18614432,-0.16642074,0.034903955
4,-0.17619148,0.0015817076,-0.17619146,0.0044122348,-0.23666598,0.026160449,-0.17318617,0.0015817076,-0.17318618,0.2368159,-0.20484199,0.022099556
5,-0.22840989,0.0015817076,-0.22840986,0.028566718,-0.26568052,0.018765256,-0.22746707,0.0015817076,-0.22746709,0.2734188,-0.22155856,0.015460209
6,-0.2815637,0.0015817076,-0.28156367,0.04490777,-0.26858512,0.01062905,-0.28197575,0.0015817076,-0.28197575,0.2826258,-0.22357439,0.00806246
7,-0.32981136,0.0015817076,-0.32981136,0.05023024,-0.26097852,0.009030234,-0.33037162,0.0015817076,-0.33037162,0.27776855,-0.22174871,0.0060401373
8,-0.3527499,0.0015817076,-0.3527499,0.052208185,-0.25129503,0.0037365067,-0.35348725,0.0015817076,-0.35348725,0.27059034,-0.21881963,0.0005623929
9,-0.37290952,0.0015817076,-0.37290952,0.05787952,-0.2509269,0.0014592975,-0.3740767,0.0015817076,-0.3740767,0.2732379,-0.21719927,-0.00015965287
10,-0.38522992,0.0015817076,-0.38522992,0.065135255,-0.25421917,-0.0035896408,-0.3870351,0.0015817076,-0.3870351,0.27992493,-0.21601547,-0.0037362701
11,-0.39351705,0.0015817076,-0.39351705,0.07364832,-0.25812098,-0.0047096615,-0.39616162,0.0015817076,-0.39616162,0.28814206,-0.21441492,-0.0040702852
12,-0.39693677,0.0015817076,-0.39693677,0.08233207,-0.26078832,-0.0040702703,-0.40056252,0.0015817076,-0.40056252,0.29579917,-0.2122595,-0.002399586
13,-0.39940423,0.0015817076,-0.39940423,0.08614244,-0.25921172,-0.0066501745,-0.40356433,0.0015817076,-0.40356433,0.29744825,-0.2103187,-0.004437429
14,-0.40109754,0.0015817076,-0.40109754,0.0879486,-0.25551674,-0.0057442053,-0.4056357,0.0015817076,-0.4056357,0.29637042,-0.20843548,-0.002946592
15,-0.39683542,0.0015817076,-0.39683542,0.087064065,-0.2506383,-0.008085589,-0.4015564,0.0015817076,-0.4015564,0.2926006,-0.20718932,-0.0033517103
