Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_kappa,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_kappa,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_kappa
1,-0.037971783,0.04547347,-0.03757143,0.028667802,-0.041645143,0.037196536,-0.037397597,0.04713708,-0.03720745,0.031173429,-0.04528104,0.036275864,-0.036996294,0.047125686,-0.037180606,0.034467805,-0.045476455,0.036551435,-0.036963332,0.046016015,-0.03729398,0.038510837,-0.044476587,0.037197866,-0.03711919,0.044900004,-0.037315913,0.04209014,-0.04379791,0.037446555,-0.037228838,0.044271708,-0.037236243,0.044145778,-0.043616727,0.037331015
2,-0.030673433,0.08366843,-0.026898537,0.0057263277,-0.044140846,0.019712817,-0.025962623,0.08846904,-0.026363593,0.010101512,-0.07518689,0.018493474,-0.025149172,0.078642786,-0.029742919,0.018378222,-0.08061121,0.027437512,-0.02828803,0.05413945,-0.032010045,0.03431268,-0.08023413,0.0365003,-0.030709062,0.049685594,-0.030389242,0.055612035,-0.08061653,0.030302588,-0.029675696,0.059740975,-0.027688205,0.06902331,-0.082832485,0.023792543
3,-0.02504868,0.105931215,-0.020892968,-0.010420409,-0.019923922,0.010045863,-0.019447684,0.111300685,-0.021599652,-0.008177922,-0.06123881,0.014661304,-0.019563165,0.09181649,-0.027313568,-0.0049023847,-0.074840836,0.034197673,-0.02449484,0.054967187,-0.028341155,0.007930808,-0.07781756,0.040831145,-0.025401285,0.0586715,-0.023555212,0.038111977,-0.09025326,0.020883072,-0.021454813,0.07546474,-0.019881412,0.06670861,-0.109671526,0.0162525
4,-0.026341759,0.11079576,-0.023617646,-0.017565457,-0.012329748,0.018402627,-0.021871444,0.11795262,-0.023240108,-0.018328952,-0.053856336,0.02089228,-0.020690432,0.09516094,-0.026660338,-0.019856509,-0.07084401,0.03638488,-0.022988763,0.06179841,-0.023877025,-0.0074140974,-0.077272855,0.028119452,-0.020021683,0.07498562,-0.019120086,0.03907772,-0.10473819,0.00701857,-0.016854327,0.08709858,-0.019917069,0.08216082,-0.14359948,0.025288178
5,-0.023363957,0.11078274,-0.02194907,-0.027757132,-0.015254416,0.01622533,-0.020045023,0.12024424,-0.020909172,-0.025862742,-0.0596555,0.01785152,-0.01812474,0.09392614,-0.022797093,-0.030510409,-0.07217048,0.031677324,-0.01861204,0.065512046,-0.016912572,-0.015601169,-0.07480752,0.011159375,-0.01257169,0.084913835,-0.013192582,0.043051176,-0.10750297,-0.0054851943,-0.011208704,0.09138198,-0.017712884,0.089451134,-0.160944,0.029821819
6,-0.025594011,0.111941874,-0.023389839,-0.036291063,-0.031583194,0.01892306,-0.021466263,0.12300107,-0.02255975,-0.031147063,-0.07427862,0.02333858,-0.01965801,0.09203298,-0.024489868,-0.046101954,-0.07075354,0.04113477,-0.019375168,0.0697363,-0.01598275,-0.032557882,-0.06759129,0.013022811,-0.010455126,0.09502664,-0.011933604,0.035253722,-0.09910178,-0.003461551,-0.009347084,0.09903648,-0.016542273,0.08152308,-0.15848358,0.031248458
7,-0.021497656,0.108986974,-0.017582243,-0.046456773,-0.06320459,0.008792651,-0.015920624,0.12492217,-0.016204294,-0.027663898,-0.10421977,0.014048497,-0.0139812995,0.08953684,-0.019477263,-0.044833597,-0.082434535,0.038778283,-0.014779972,0.06865062,-0.01076464,-0.028230576,-0.06248464,0.009991577,-0.005403228,0.09773725,-0.008284802,0.043665715,-0.08582447,-0.00025099132,-0.006704895,0.09959951,-0.013646499,0.08141025,-0.15367222,0.0314193
8,-0.02126296,0.10725703,-0.016529102,-0.051375434,-0.08681604,0.00850308,-0.015133463,0.1259578,-0.01631538,-0.0283229,-0.12484259,0.017803263,-0.014269649,0.08521706,-0.021079639,-0.057878356,-0.0835037,0.049790468,-0.015470644,0.06934105,-0.010665327,-0.04013439,-0.056815527,0.018973902,-0.0043791546,0.10343041,-0.0075063836,0.039425246,-0.07295115,0.007823619,-0.0058223135,0.104161166,-0.011667796,0.07399747,-0.14655823,0.029835349
9,-0.01588614,0.10034647,-0.011289646,-0.05793818,-0.117158934,0.008206802,-0.010252134,0.12391743,-0.010156455,-0.027487667,-0.1498186,0.0122298645,-0.008537215,0.0809094,-0.015067195,-0.063011535,-0.095276065,0.047729854,-0.009439926,0.06861659,-0.003835052,-0.04011196,-0.060710438,0.0150656225,0.002446706,0.10612882,-0.0021444103,0.04744687,-0.071398154,0.0055083074,-0.0011037814,0.10521205,-0.006614847,0.0784332,-0.15284231,0.022901962
10,-0.014858888,0.093591,-0.010853429,-0.06373913,-0.1355884,0.010194093,-0.009852283,0.12137155,-0.009941143,-0.030270979,-0.1583142,0.014880842,-0.008134662,0.07646122,-0.015426487,-0.07773258,-0.09046778,0.05302627,-0.008257316,0.069633566,-0.0020691364,-0.051881377,-0.058832668,0.016242085,0.005179332,0.111729756,-0.0015106235,0.048871625,-0.06660231,0.011118718,-0.00067638105,0.10948835,-0.005746036,0.07646907,-0.1487547,0.023208207
