Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
1,0.04589101,0.045047794,0.04589501,0.04962468,0.040742513,0.046649512,0.04591014,0.045686737,0.0459155,0.04953613,0.028425414,0.046160325,0.045926698,0.046668313,0.045941073,0.04929714,0.017621899,0.036452625,0.04595793,0.047706366,0.045981947,0.048869666,0.0062766355,0.020158807,0.046010796,0.04849043,0.0460388,0.04827148,0.0007005264,0.009834451,0.04607053,0.048993018,0.046098247,0.0479073,-0.03788701,0.0005354124
2,0.0953694,0.04458414,0.095424004,0.092524745,0.045700084,0.09350467,0.09537889,0.051668875,0.09539191,0.090234816,-0.0065460433,0.091151476,0.09534514,0.065842114,0.09527547,0.08620134,-0.023937587,0.045493178,0.09524416,0.077789806,0.09505386,0.08297373,-0.037084214,-0.010032377,0.095080525,0.08341894,0.09476106,0.08198311,-0.04404546,-0.027861562,0.09480699,0.08590476,0.094424844,0.08467397,-0.08455228,-1.0878255e-05
3,0.137421,0.014165636,0.13831332,0.12320638,0.08100816,0.14192522,0.13830167,0.027596103,0.13825229,0.1159003,-0.00062383525,0.13841878,0.1383011,0.060301363,0.13724254,0.10606603,-0.034448124,0.08599379,0.13700326,0.087371334,0.13451317,0.10424863,-0.051974777,0.0069625443,0.13389108,0.09828827,0.12917404,0.11022097,-0.061544243,-0.015117301,0.12820065,0.10573952,0.12312669,0.11932295,-0.122044645,-0.00062734325
4,0.1435945,-0.022030657,0.14574715,0.14071307,0.103398345,0.17866775,0.14916588,-0.0041599507,0.148241,0.12644738,0.014512621,0.17039306,0.1506254,0.0425905,0.14585026,0.11203359,-0.023162631,0.1037575,0.14619052,0.07932174,0.13738208,0.11828704,-0.042569056,-0.0012859453,0.13618454,0.09922862,0.12311794,0.1322778,-0.051028047,-0.013038085,0.12133687,0.119597234,0.109188095,0.14500219,-0.1300766,-0.00080929446
5,0.12684005,-0.054036424,0.130239,0.14900433,0.08756908,0.19250746,0.1390494,-0.03208718,0.13745768,0.12649763,0.0008257162,0.17386174,0.14325918,0.02707019,0.13461368,0.106281124,-0.024397083,0.08565536,0.13618597,0.06877258,0.12143529,0.120203614,-0.03767539,-0.0381712,0.12057518,0.10000917,0.10045985,0.13926819,-0.04269593,-0.04152271,0.09897595,0.13342218,0.08061122,0.15656158,-0.13240841,-0.00055397715
6,0.109355114,-0.075348504,0.11497546,0.14803164,0.058599908,0.20050538,0.12914191,-0.045159966,0.12783217,0.118871816,-0.022135714,0.172799,0.13713416,0.025950689,0.12602909,0.094119,-0.029954737,0.061063234,0.12906076,0.06558676,0.111239605,0.11365841,-0.0344447,-0.07943277,0.110965006,0.10422711,0.08691687,0.13507509,-0.035316985,-0.0745485,0.08620237,0.1441092,0.06382701,0.156611,-0.13289225,-0.00060112774
7,0.102802806,-0.08669841,0.111435294,0.14078864,0.036338154,0.21358274,0.13007767,-0.04508862,0.12966007,0.108349726,-0.036499232,0.1799269,0.1422299,0.037320197,0.13010614,0.08182922,-0.029944694,0.046155903,0.13430192,0.07052728,0.11633243,0.10586418,-0.028079154,-0.11217461,0.11617864,0.10939051,0.091727585,0.12913865,-0.025520295,-0.09742382,0.0914521,0.14876679,0.06912355,0.1524382,-0.12455712,-0.0009969474
8,0.101297244,-0.09299673,0.11265606,0.13155955,0.032928985,0.23562305,0.13490203,-0.039320365,0.135177,0.09798784,-0.032474566,0.20096983,0.15068522,0.05165918,0.13887078,0.07219744,-0.01644139,0.05017171,0.14383976,0.074027725,0.12778279,0.101099305,-0.012703204,-0.13069151,0.1266557,0.10826209,0.10333776,0.12686296,-0.009307303,-0.10780496,0.102758825,0.14451262,0.08156265,0.15050049,-0.1085683,-0.0014267156
9,0.09806943,-0.09659375,0.111449525,0.12415505,0.042945478,0.26514637,0.13670437,-0.032482486,0.13718219,0.09036099,-0.0187779,0.23032452,0.15578105,0.06117213,0.14534108,0.06815307,0.0023162672,0.065758064,0.15109879,0.06961148,0.13774067,0.10196768,0.0034697892,-0.14223309,0.13471518,0.10113031,0.11286104,0.12738478,0.006050866,-0.11619963,0.111734845,0.13605484,0.09133801,0.15026283,-0.094994016,-0.001763898
10,0.08414513,-0.09813002,0.099495456,0.11881932,0.03785258,0.2906543,0.12859392,-0.026702443,0.12904988,0.08326037,-0.024349969,0.25204623,0.15173839,0.06379909,0.14299494,0.06475374,0.005004305,0.07357891,0.15022317,0.05728729,0.13917036,0.101591416,0.004771255,-0.16447006,0.13446644,0.09348464,0.113559306,0.12110434,0.010741412,-0.1389995,0.11270253,0.13165443,0.09209151,0.14151308,-0.08610933,-0.0014557911
11,0.06982836,-0.09890245,0.08704649,0.11445681,0.023396239,0.31145412,0.120203234,-0.021146456,0.120657116,0.07691322,-0.040606152,0.2683909,0.14759451,0.06584092,0.14060993,0.061270304,-0.0015907667,0.07809154,0.14948909,0.04560093,0.14034632,0.09957021,-0.0026710932,-0.18880197,0.13430652,0.08854439,0.11426358,0.11104617,0.007854367,-0.1660501,0.11420061,0.13013975,0.093419805,0.12848501,-0.081696324,-0.0012792044
12,0.06307195,-0.10125711,0.08185131,0.110036775,0.020131368,0.33334368,0.11813611,-0.01608084,0.11870242,0.072582364,-0.045081906,0.28824973,0.1491265,0.07133559,0.14386964,0.060390696,0.0006341246,0.089390524,0.15400141,0.03975662,0.14659835,0.100461,-0.0035027526,-0.20272991,0.13904159,0.08586783,0.120307304,0.10545477,0.0076565244,-0.18369119,0.12071692,0.1271091,0.100317575,0.12172629,-0.081510544,-0.0014177572
13,0.05886855,-0.105675064,0.07893061,0.10663783,0.02417167,0.35340595,0.11800769,-0.012596493,0.118723415,0.06977276,-0.04205898,0.30822575,0.15171862,0.07893326,0.14799815,0.06016175,0.009532226,0.10460093,0.15889893,0.038407754,0.15296774,0.10225715,0.0015215825,-0.20749699,0.14397426,0.08480025,0.12658559,0.102718346,0.010158287,-0.19385532,0.12721778,0.12320163,0.10704459,0.11976661,-0.08332081,-0.001512493
14,0.051534437,-0.11087102,0.072550155,0.10528732,0.025230585,0.36867708,0.114833534,-0.011160746,0.11561989,0.06793507,-0.04260956,0.32352138,0.15069287,0.085460864,0.14836846,0.05894818,0.016367448,0.11798725,0.15978456,0.037029907,0.15504369,0.102804825,0.0053858208,-0.21012306,0.14491959,0.08411487,0.1286626,0.09899355,0.0116371,-0.20384149,0.12961604,0.1201105,0.10902398,0.11766556,-0.08612141,-0.0015412141
15,0.044951033,-0.11458301,0.066640936,0.104863055,0.020417163,0.37852788,0.11174958,-0.010138582,0.11257889,0.066664815,-0.04939185,0.33309975,0.14931697,0.09080486,0.14812937,0.05709008,0.016994625,0.12635852,0.15996623,0.03629433,0.15608566,0.10176359,0.004509942,-0.21374676,0.14530252,0.084593676,0.1300043,0.09370579,0.009773924,-0.2143153,0.13149738,0.118359104,0.11047525,0.11361747,-0.0892467,-0.0015559866
16,0.04081074,-0.1171744,0.06302174,0.104519345,0.013748234,0.38480586,0.110139996,-0.009401993,0.11102085,0.06583352,-0.0579806,0.33906025,0.14896624,0.09569865,0.14856274,0.05531964,0.014922182,0.13112877,0.16067252,0.037156977,0.1573886,0.1002287,0.0018299029,-0.21686795,0.14637345,0.08655487,0.13202943,0.08823283,0.006601811,-0.22299314,0.13419238,0.117178574,0.11290608,0.10938195,-0.09270061,-0.0015342722
17,0.03935566,-0.12028083,0.06159116,0.104792684,0.014142998,0.39043945,0.1098658,-0.00993702,0.11078498,0.06622435,-0.059583582,0.3453045,0.14913045,0.10041721,0.14928809,0.05453214,0.017746335,0.13670307,0.16125964,0.03995574,0.15843742,0.09977289,0.004151507,-0.21385047,0.1473631,0.088904195,0.13406284,0.08525231,0.006773999,-0.22478986,0.13661033,0.11485489,0.11497828,0.10886052,-0.096821435,-0.0014349582
18,0.037816036,-0.12281151,0.060029242,0.105578735,0.015410078,0.3942342,0.10919996,-0.010849036,0.11014593,0.067268066,-0.060516275,0.3495386,0.14856519,0.104569204,0.1490868,0.05411922,0.02090458,0.14098015,0.16076937,0.042938184,0.15828887,0.09964034,0.006955404,-0.2096207,0.14731096,0.09152938,0.13506386,0.08282108,0.0073972642,-0.22532678,0.13796784,0.11271158,0.115974374,0.10890882,-0.10056694,-0.0012115134
19,0.03649326,-0.124227926,0.058663495,0.10665403,0.014700191,0.39558935,0.10859935,-0.011698504,0.10957032,0.06867745,-0.06369222,0.35088024,0.14787936,0.1077812,0.1486004,0.053929027,0.021458583,0.14249416,0.16002144,0.04542865,0.15776351,0.099387236,0.0074663176,-0.20731458,0.14702211,0.09443732,0.13577268,0.07997498,0.0065821796,-0.22698852,0.13913435,0.111339994,0.116833165,0.108225405,-0.10472311,-0.0010867418
20,0.034669776,-0.12507534,0.056733023,0.10821009,0.013254026,0.39645976,0.10743295,-0.012871073,0.10841002,0.070747495,-0.068125635,0.35130307,0.14664,0.1101295,0.14752628,0.054188743,0.020566864,0.14316973,0.15876123,0.047205772,0.15665413,0.09936786,0.006552599,-0.2056843,0.1461586,0.09721708,0.13589567,0.07694832,0.005050916,-0.22949933,0.13975602,0.11033446,0.11715283,0.10700151,-0.10885198,-0.0010433241
21,0.034496646,-0.12589015,0.056226272,0.109924026,0.01567427,0.39734158,0.107315056,-0.01438856,0.10829451,0.07344812,-0.06878923,0.35206914,0.14606021,0.11210275,0.14706275,0.05527804,0.021860732,0.14409094,0.15800083,0.049401797,0.1559998,0.10017188,0.00752159,-0.20255543,0.14576598,0.10004892,0.13651048,0.07517767,0.004675261,-0.22982848,0.1407628,0.10903632,0.117836274,0.10754902,-0.113887586,-0.0011558222
22,0.034720693,-0.12627192,0.056081016,0.11164371,0.017558653,0.39812154,0.10752872,-0.015984448,0.10850997,0.07641038,-0.07025914,0.35243672,0.14586969,0.1136305,0.14694636,0.056635886,0.021900306,0.14431326,0.15768045,0.051472563,0.15572216,0.1009963,0.007228468,-0.20051089,0.14575407,0.10302983,0.13747904,0.07317328,0.003552929,-0.23100017,0.14218195,0.10808705,0.11898385,0.10770514,-0.119191125,-0.0014185108
