Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa
1,-0.05540257,0.0015817076,-0.055402577,0.04602403,-0.070005834,0.06049671,-0.054884233,0.0015817076,-0.054884233,0.07561634,-0.068630815,0.060496707
2,-0.0517302,0.0015817076,-0.051730223,0.030557329,-0.14116888,0.031308323,-0.04990138,0.0015817076,-0.049901377,0.13513768,-0.13665898,0.031308323
3,-0.09504107,0.0015817076,-0.09504109,0.023004811,-0.20460048,0.041298408,-0.09335583,0.0015817076,-0.09335582,0.18821856,-0.19233763,0.041298408
4,-0.12948157,0.0015817076,-0.12948158,0.026654782,-0.24915566,0.027450439,-0.12876484,0.0015817076,-0.12876484,0.23070121,-0.23172268,0.027450439
5,-0.1736168,0.0015817076,-0.1736168,0.041884266,-0.2725922,0.026911942,-0.17529118,0.0015817076,-0.17529118,0.25722262,-0.25079474,0.026911942
6,-0.21708558,0.0015817076,-0.21708558,0.06523568,-0.2610482,0.016287092,-0.22264372,0.0015817076,-0.22264372,0.2578644,-0.24543437,0.015691971
7,-0.27093065,0.0015817076,-0.27093065,0.07799616,-0.24642289,0.016738852,-0.27840552,0.0015817076,-0.27840552,0.24980569,-0.23975547,0.013058329
8,-0.30818674,0.0015817076,-0.30818674,0.08191844,-0.2307167,0.0102687795,-0.31651092,0.0015817076,-0.31651092,0.23786058,-0.23597237,0.005297419
9,-0.32265183,0.0015817076,-0.32265183,0.08581766,-0.22545815,0.005271758,-0.33153802,0.0015817076,-0.33153802,0.23653236,-0.23559715,0.001066582
10,-0.32769832,0.0015817076,-0.32769832,0.089804105,-0.22481821,0.0025581922,-0.33702788,0.0015817076,-0.3370279,0.23970611,-0.2362214,0.0023028282
11,-0.33633137,0.0015817076,-0.33633137,0.09323026,-0.22434834,-0.0023843413,-0.34599653,0.0015817076,-0.34599656,0.24274035,-0.23673959,0.0036314006
12,-0.35535595,0.0015817076,-0.35535595,0.09533722,-0.22368811,-0.0020918893,-0.36514264,0.0015817076,-0.36514267,0.24455181,-0.23657876,0.0075843404
13,-0.36475578,0.0015817076,-0.36475578,0.09671014,-0.2214766,-0.0045267073,-0.37470815,0.0015817076,-0.37470818,0.24483855,-0.2345527,0.0071934448
14,-0.37123954,0.0015817076,-0.37123954,0.09980091,-0.22290246,-0.0051831575,-0.3813951,0.0015817076,-0.38139513,0.24881017,-0.23365584,0.007402627
15,-0.36723822,0.0015817076,-0.36723822,0.09915908,-0.22088672,-0.005467937,-0.37744722,0.0015817076,-0.37744725,0.24770123,-0.2308423,0.0074901907
16,-0.3680367,0.0015817076,-0.3680367,0.100165896,-0.22049288,-0.0055930014,-0.37835258,0.0015817076,-0.3783526,0.2487454,-0.22913057,0.007525691
17,-0.37005082,0.0015817076,-0.37005082,0.10248341,-0.22109273,-0.0056493026,-0.3805447,0.0015817076,-0.38054472,0.25137556,-0.22782552,0.0075389645
18,-0.3689672,0.0015817076,-0.3689672,0.10437903,-0.22221655,-0.0050528864,-0.37960187,0.0015817076,-0.3796019,0.25393322,-0.2272998,0.008094626
19,-0.37656945,0.0015817076,-0.37656942,0.107888214,-0.22354788,-0.007232206,-0.3874083,0.0015817076,-0.38740832,0.2579588,-0.22693563,0.005766846
20,-0.38858345,0.0015817076,-0.3885834,0.112401865,-0.22470225,-0.010762671,-0.39968812,0.0015817076,-0.39968815,0.26263678,-0.22667475,0.0029300414
21,-0.39425167,0.0015817076,-0.3942516,0.1135387,-0.22383931,-0.013274537,-0.405451,0.0015817076,-0.40545103,0.26319078,-0.22626835,0.0013034111
22,-0.3989874,0.0015817076,-0.39898735,0.1170688,-0.22307523,-0.012641484,-0.41050413,0.0015817076,-0.41050416,0.2656273,-0.22593848,0.0019635176
23,-0.39912382,0.0015817076,-0.39912376,0.122141264,-0.22255583,-0.012897631,-0.4111298,0.0015817076,-0.41112983,0.26923794,-0.22583744,0.002096074
24,-0.39672318,0.0015817076,-0.39672312,0.12315612,-0.21974717,-0.012926871,-0.4089786,0.0015817076,-0.40897864,0.26811528,-0.22558245,0.0017593444
25,-0.39213005,0.0015817076,-0.39213,0.12114938,-0.2156075,-0.011545132,-0.4044437,0.0015817076,-0.40444374,0.26372626,-0.2251569,0.00267819
26,-0.3864121,0.0015817076,-0.38641205,0.121195406,-0.21273305,-0.0129405055,-0.39891645,0.0015817076,-0.39891648,0.26175314,-0.2247923,0.0014795165
27,-0.3883084,0.0015817076,-0.38830835,0.1226416,-0.21081841,-0.010522364,-0.40101165,0.0015817076,-0.40101168,0.26170748,-0.22452243,0.0040539224
28,-0.38991258,0.0015817076,-0.38991252,0.12297434,-0.20907497,-0.010598994,-0.40271255,0.0015817076,-0.40271258,0.2608988,-0.22426407,0.003612863
29,-0.3902017,0.0015817076,-0.39020163,0.12415549,-0.20826682,-0.012977012,-0.4031379,0.0015817076,-0.40313792,0.26130474,-0.22415815,0.0020809646
30,-0.39089713,0.0015817076,-0.39089707,0.12804022,-0.2081574,-0.011304398,-0.4041612,0.0015817076,-0.40416124,0.26427013,-0.22408792,0.0039004926
31,-0.391061,0.0015817076,-0.39106095,0.12902667,-0.20663781,-0.012027222,-0.4044819,0.0015817076,-0.40448192,0.26408494,-0.22383322,0.0024051575
32,-0.38967702,0.0015817076,-0.38967696,0.1278464,-0.20411284,-0.011474784,-0.40313745,0.0015817076,-0.40313748,0.2615171,-0.22351584,0.0022971532
33,-0.38644662,0.0015817076,-0.38644657,0.12643269,-0.20232764,-0.009758547,-0.39990738,0.0015817076,-0.3999074,0.25924078,-0.223087,0.0031846426
34,-0.38806146,0.0015817076,-0.3880614,0.1316519,-0.20409784,-0.011653188,-0.40184778,0.0015817076,-0.4018478,0.264484,-0.22315532,0.00075235346
35,-0.38820368,0.0015817076,-0.38820362,0.1361488,-0.20432143,-0.008804753,-0.40234694,0.0015817076,-0.40234697,0.26815397,-0.22301684,0.0028341017
36,-0.38347328,0.0015817076,-0.38347322,0.1350024,-0.20082772,-0.007715103,-0.39774847,0.0015817076,-0.3977485,0.26495796,-0.22259435,0.003544163
37,-0.37533635,0.0015817076,-0.3753363,0.13066112,-0.19633405,-0.007560971,-0.38957056,0.0015817076,-0.3895706,0.25868213,-0.22206132,0.0038401894
38,-0.37648028,0.0015817076,-0.37648022,0.12925662,-0.19514172,-0.00808034,-0.39065316,0.0015817076,-0.3906532,0.25697106,-0.22193874,0.004106623
39,-0.3806756,0.0015817076,-0.38067555,0.13061151,-0.19653971,-0.009997592,-0.39484674,0.0015817076,-0.39484677,0.25908455,-0.22221506,0.0028223256
40,-0.38389257,0.0015817076,-0.3838925,0.13120581,-0.1973118,-0.0107244775,-0.39804232,0.0015817076,-0.39804235,0.26017892,-0.22232524,0.0026920754
41,-0.3857276,0.0015817076,-0.38572755,0.13135783,-0.19755112,-0.011314074,-0.39986047,0.0015817076,-0.3998605,0.2605734,-0.22216092,0.0025669346
42,-0.38745847,0.0015817076,-0.3874584,0.13152936,-0.19775192,-0.011566356,-0.40157887,0.0015817076,-0.4015789,0.26094198,-0.22205743,0.0025138995
43,-0.38765666,0.0015817076,-0.3876566,0.13234378,-0.1977545,-0.011787946,-0.40183905,0.0015817076,-0.40183908,0.26160654,-0.22197664,0.002169571
44,-0.38835442,0.0015817076,-0.38835436,0.13321018,-0.19747566,-0.010836134,-0.40261203,0.0015817076,-0.40261206,0.26212505,-0.2219172,0.0025445195
45,-0.38804862,0.0015817076,-0.38804856,0.1338194,-0.19708064,-0.010784857,-0.40237644,0.0015817076,-0.40237647,0.2623286,-0.22188802,0.002438549
46,-0.38758945,0.0015817076,-0.3875894,0.13390659,-0.19644745,-0.010434259,-0.4019601,0.0015817076,-0.40196013,0.26196632,-0.22182119,0.002665911
