Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa
1,-0.06555436,0.0015817076,-0.06555435,0.04105458,-0.07069391,0.059702437,-0.06448598,0.0015817076,-0.06448598,0.07766601,-0.06987062,0.058108356
2,-0.073013365,0.0015817076,-0.07301334,0.011841575,-0.14097752,0.03599575,-0.07037878,0.0015817076,-0.07037878,0.1433339,-0.1388396,0.032305844
3,-0.11718593,0.0015817076,-0.1171859,0.008714297,-0.19947934,0.03564195,-0.11467736,0.0015817076,-0.11467736,0.20438369,-0.18960598,0.031286847
4,-0.17120475,0.0015817076,-0.17120472,0.026453752,-0.22923198,0.030893954,-0.17041624,0.0015817076,-0.17041624,0.24289791,-0.21220255,0.026196722
5,-0.20595084,0.0015817076,-0.20595081,0.0518697,-0.2413141,0.018167142,-0.20789102,0.0015817076,-0.20789102,0.2669533,-0.22125104,0.012331908
6,-0.25555566,0.0015817076,-0.25555563,0.07029056,-0.24392784,0.019880166,-0.25958413,0.0015817076,-0.25958413,0.27707747,-0.22454128,0.013293876
7,-0.3033497,0.0015817076,-0.30334967,0.076669306,-0.23839721,0.012809184,-0.30831593,0.0015817076,-0.30831593,0.27382955,-0.22586183,0.0036833473
8,-0.34530076,0.0015817076,-0.34530073,0.07840445,-0.2336605,0.007960517,-0.35060096,0.0015817076,-0.35060096,0.26967794,-0.226962,0.00050307973
9,-0.3708321,0.0015817076,-0.37083206,0.0809305,-0.23259233,-0.0011640001,-0.3763892,0.0015817076,-0.3763892,0.27022812,-0.22745043,-0.0068710996
10,-0.3840048,0.0015817076,-0.38400477,0.09156683,-0.23716839,-0.003818533,-0.39040932,0.0015817076,-0.39040932,0.28096935,-0.22529392,-0.008143193
11,-0.39613315,0.0015817076,-0.39613312,0.107130736,-0.24124739,-0.0046373704,-0.40386206,0.0015817076,-0.40386206,0.29490736,-0.21976179,-0.007317154
12,-0.40485576,0.0015817076,-0.40485573,0.120979734,-0.24186732,-0.0042056767,-0.4139116,0.0015817076,-0.4139116,0.3050385,-0.21321492,-0.0057693655
13,-0.40779892,0.0015817076,-0.4077989,0.12906982,-0.23811598,-0.0052059954,-0.4178735,0.0015817076,-0.4178735,0.30809817,-0.20752162,-0.006191856
14,-0.4063812,0.0015817076,-0.40638116,0.13021503,-0.2307002,-0.006868823,-0.41702518,0.0015817076,-0.41702518,0.3037878,-0.2035244,-0.007427304
15,-0.4007167,0.0015817076,-0.40071666,0.12922876,-0.22243829,-0.0058902605,-0.4118036,0.0015817076,-0.4118036,0.29738683,-0.20028564,-0.0058710393
16,-0.3954891,0.0015817076,-0.39548907,0.12920938,-0.21541363,-0.005011301,-0.40702903,0.0015817076,-0.40702903,0.29254046,-0.19729985,-0.003766719
17,-0.39272356,0.0015817076,-0.39272353,0.12908168,-0.20949434,-0.005456082,-0.40462217,0.0015817076,-0.40462217,0.28836823,-0.19492215,-0.0032665883
18,-0.38957575,0.0015817076,-0.38957572,0.12902972,-0.20504212,-0.0078084287,-0.40175614,0.0015817076,-0.40175614,0.2852295,-0.19326463,-0.0012570862
19,-0.38745004,0.0015817076,-0.38745,0.12697433,-0.2007939,-0.00901852,-0.39972296,0.0015817076,-0.39972296,0.2808585,-0.19243644,0.0009007278
20,-0.3868765,0.0015817076,-0.38687646,0.124495216,-0.19729269,-0.00942901,-0.39915136,0.0015817076,-0.39915136,0.27672526,-0.19206494,0.002044441
21,-0.38700804,0.0015817076,-0.387008,0.12376664,-0.19548541,-0.0098620765,-0.3993254,0.0015817076,-0.3993254,0.27496505,-0.19198196,0.0019412833
22,-0.3870355,0.0015817076,-0.38703546,0.124174036,-0.19465235,-0.010978117,-0.3994325,0.0015817076,-0.3994325,0.27466097,-0.19200912,0.0020560864
23,-0.38838822,0.0015817076,-0.3883882,0.12522826,-0.19424316,-0.011027924,-0.40088272,0.0015817076,-0.40088272,0.2751211,-0.19209471,0.0025376277
24,-0.38892823,0.0015817076,-0.3889282,0.12587734,-0.19363663,-0.011490422,-0.40150517,0.0015817076,-0.40150517,0.2751561,-0.19212505,0.0025186404
25,-0.38824955,0.0015817076,-0.38824952,0.12617369,-0.19292906,-0.01106305,-0.4008956,0.0015817076,-0.4008956,0.27486014,-0.19211853,0.0033107453
26,-0.38835356,0.0015817076,-0.38835353,0.12770411,-0.19243199,-0.011116874,-0.40114823,0.0015817076,-0.40114823,0.2755785,-0.19217849,0.003108412
27,-0.38802642,0.0015817076,-0.38802636,0.12770759,-0.1912759,-0.009431223,-0.4008907,0.0015817076,-0.4008907,0.27481943,-0.19208129,0.0040243524
28,-0.3843973,0.0015817076,-0.38439724,0.12618446,-0.18931796,-0.01063446,-0.3972828,0.0015817076,-0.3972828,0.2724699,-0.19145966,0.0029743128
29,-0.3861834,0.0015817076,-0.38618335,0.12637787,-0.18839225,-0.008805177,-0.39912263,0.0015817076,-0.39912263,0.27208507,-0.1910977,0.0055020014
30,-0.37788826,0.0015817076,-0.3778882,0.1248069,-0.18708235,-0.0111055635,-0.39084563,0.0015817076,-0.39084566,0.27012202,-0.19033316,0.00410439
31,-0.3749354,0.0015817076,-0.37493533,0.12300187,-0.18633781,-0.009788313,-0.38782135,0.0015817076,-0.38782138,0.26851436,-0.18954848,0.0062876735
32,-0.37721685,0.0015817076,-0.3772168,0.121932,-0.18644677,-0.010606677,-0.3900003,0.0015817076,-0.39000034,0.26806748,-0.18910089,0.0066067628
33,-0.38140124,0.0015817076,-0.38140118,0.11998393,-0.18634304,-0.012175188,-0.3940136,0.0015817076,-0.39401364,0.26699588,-0.18817382,0.0059694755
34,-0.3842297,0.0015817076,-0.38422963,0.12130484,-0.18825524,-0.012538729,-0.3968184,0.0015817076,-0.39681843,0.26941466,-0.1879666,0.0062378966
35,-0.3863342,0.0015817076,-0.38633415,0.12149194,-0.18920822,-0.01329691,-0.39887038,0.0015817076,-0.3988704,0.27038535,-0.18753026,0.0053446935
36,-0.38771096,0.0015817076,-0.3877109,0.12200078,-0.19009294,-0.013956823,-0.40022784,0.0015817076,-0.40022787,0.27148536,-0.18713519,0.004852003
37,-0.38758862,0.0015817076,-0.38758853,0.12125882,-0.1904007,-0.013414493,-0.4000337,0.0015817076,-0.40003374,0.27134705,-0.18639798,0.005498131
38,-0.38663653,0.0015817076,-0.38663644,0.12154352,-0.19111182,-0.015051968,-0.39907268,0.0015817076,-0.3990727,0.27214894,-0.1858637,0.0038902294
39,-0.3921433,0.0015817076,-0.39214322,0.120375104,-0.18986122,-0.013836097,-0.4045158,0.0015817076,-0.40451583,0.27094007,-0.18457139,0.005055209
40,-0.39614207,0.0015817076,-0.39614198,0.121759534,-0.18983455,-0.014769625,-0.40858832,0.0015817076,-0.40858838,0.27223414,-0.18366231,0.0040150075
41,-0.39472917,0.0015817076,-0.39472908,0.12557937,-0.19124442,-0.014242356,-0.40739673,0.0015817076,-0.4073968,0.27585483,-0.18355447,0.0050848685
42,-0.39116263,0.0015817076,-0.39116254,0.12582271,-0.1905276,-0.014192081,-0.4039145,0.0015817076,-0.40391457,0.27547392,-0.18316397,0.0041640294
43,-0.38856953,0.0015817076,-0.38856944,0.1234809,-0.18845436,-0.012240175,-0.40127861,0.0015817076,-0.40127867,0.27243134,-0.1825082,0.0050793015
44,-0.38437712,0.0015817076,-0.38437703,0.12317958,-0.18806304,-0.012528427,-0.39711684,0.0015817076,-0.3971169,0.2719152,-0.18205468,0.004409015
45,-0.38001698,0.0015817076,-0.3800169,0.12259924,-0.18785082,-0.011890707,-0.3927592,0.0015817076,-0.39275926,0.27143258,-0.18119492,0.0049773427
46,-0.3803089,0.0015817076,-0.3803088,0.12245245,-0.18803538,-0.011167458,-0.3930289,0.0015817076,-0.39302894,0.2715644,-0.18086958,0.0058950805
