Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_kappa,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_kappa,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_kappa
12,-0.09396692,0.074233904,-0.07063544,-0.15192682,-0.015127704,0.022003861,-0.080186516,0.102955446,-0.040057406,0.0010576667,-0.11210245,0.0062871706,-0.04752592,0.09491784,-0.008173722,0.03570287,-0.13690452,-0.0118185645,-0.021323495,0.07327604,0.01927918,0.034252163,-0.14509985,-0.019794805,0.008331826,0.048792753,0.05203352,0.02760404,-0.15873617,-0.017735818,0.049378805,0.051042527,0.09274753,0.022932354,-0.15665309,-0.0045431675
13,-0.096485935,0.06412881,-0.07273114,-0.16154666,-0.02148258,0.026623849,-0.08160689,0.109321125,-0.03762881,0.004302695,-0.12148893,0.004199329,-0.0453765,0.10007534,-0.003791087,0.04137797,-0.14754765,-0.016127212,-0.019037759,0.074739054,0.022667728,0.039151676,-0.15476085,-0.022812577,0.008309417,0.049148552,0.052305337,0.030818174,-0.16959871,-0.017339854,0.046737257,0.050639383,0.09010339,0.024783717,-0.17282952,0.0016285547
14,-0.099596605,0.05805796,-0.07624091,-0.17722884,-0.024183286,0.032372225,-0.08337661,0.115380816,-0.038733743,0.0007270238,-0.12837052,0.0047894414,-0.0444834,0.10248933,-0.0038666362,0.040864218,-0.15636313,-0.01616958,-0.017602347,0.07586333,0.023049753,0.03889554,-0.16123244,-0.021183489,0.0098152915,0.05233051,0.053408984,0.030080244,-0.17374225,-0.014554959,0.048422027,0.05427385,0.09166738,0.023876894,-0.17504755,0.0049385694
15,-0.096865796,0.05415402,-0.074196056,-0.19266176,-0.028124096,0.032352004,-0.079116374,0.1168834,-0.035400465,-0.0025471086,-0.13645,0.0019527427,-0.0385022,0.099220924,8.985214e-05,0.039755967,-0.16460551,-0.017585354,-0.011247783,0.07437726,0.02772434,0.037390348,-0.16639574,-0.019704383,0.016613303,0.055611316,0.059701946,0.027951412,-0.17575109,-0.012610057,0.055401374,0.059040956,0.09858133,0.021737283,-0.17201163,0.0050504324
16,-0.09303654,0.058536105,-0.070194505,-0.19772168,-0.026378963,0.032666374,-0.07283785,0.12710887,-0.028815318,-0.00022651436,-0.1357091,-0.0014304738,-0.030886943,0.103488594,0.0066200458,0.044438224,-0.16310653,-0.02080756,-0.005345209,0.07655909,0.03216338,0.042641852,-0.16161028,-0.02041328,0.01857528,0.0596062,0.060581215,0.03281303,-0.17076832,-0.011961375,0.05253985,0.0630436,0.09478375,0.026297877,-0.17614385,0.008177333
17,-0.09261783,0.053031437,-0.070241146,-0.20991571,-0.021971926,0.0328232,-0.07057227,0.12879103,-0.027130954,-0.0018534241,-0.13857973,-0.00440061,-0.027972953,0.09959455,0.007521848,0.046121165,-0.16630344,-0.02212143,-0.004173556,0.07388336,0.031133162,0.044832695,-0.16120476,-0.018563015,0.017154247,0.06088985,0.05789926,0.034892846,-0.16769244,-0.009923141,0.048974566,0.06458845,0.09038001,0.028731383,-0.1760153,0.010636682
18,-0.093851425,0.04714419,-0.07215412,-0.222183,-0.016667582,0.035537895,-0.069657564,0.13095297,-0.028071929,-0.006073424,-0.14173916,-0.003735252,-0.026751518,0.09663119,0.0059026442,0.044723127,-0.17002869,-0.019330326,-0.0037060317,0.07390676,0.029240396,0.043856137,-0.16107367,-0.013339098,0.017319541,0.06492249,0.057085786,0.034042004,-0.16338022,-0.006119246,0.04930238,0.06834719,0.09029663,0.028539717,-0.16976465,0.011660975
19,-0.09055756,0.04926754,-0.0692555,-0.22695228,-0.012284431,0.038077112,-0.063985944,0.1385869,-0.02432623,-0.0064846505,-0.14156727,-0.0018900151,-0.021310281,0.09889304,0.0090097785,0.04558047,-0.16842157,-0.015293288,0.00075579097,0.077447854,0.032190084,0.044597775,-0.15534718,-0.007850703,0.021008682,0.06991644,0.060350187,0.034604944,-0.154435,-0.003004186,0.051782507,0.071428165,0.09255607,0.029402394,-0.16170603,0.0114426715
20,-0.089801535,0.035418894,-0.06885718,-0.24173972,-0.007515664,0.034614477,-0.061365817,0.13599734,-0.0213001,-0.0075898003,-0.1497326,-0.008902737,-0.017253155,0.092289224,0.011857238,0.046891473,-0.17563805,-0.020768244,0.0040726624,0.07423527,0.034398966,0.0455901,-0.15888101,-0.012316811,0.022852981,0.06882551,0.06150469,0.035952903,-0.15542376,-0.0085946545,0.05101444,0.06950304,0.090880394,0.03146058,-0.16671415,0.007445981
21,-0.08955828,0.036492966,-0.068526395,-0.24571063,-0.0009135615,0.036203988,-0.058583565,0.14606103,-0.018751772,-0.005975698,-0.1496933,-0.009343608,-0.014097065,0.09777279,0.01408124,0.050523315,-0.17379756,-0.020429162,0.0058499444,0.07972236,0.035320673,0.04979017,-0.15336078,-0.0112022385,0.022300603,0.073540434,0.060252815,0.040517874,-0.1493701,-0.008106462,0.047460396,0.0714753,0.08652442,0.036282692,-0.17019266,0.009445894
