Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa
25,-0.19349262,0.0015817076,-0.19349262,0.07128458,-0.1182935,0.0006267052,-0.19368069,0.0015817076,-0.19368069,0.14181313,-0.13007641,0.017345415,-0.19279848,0.0015817076,-0.19279847,0.17397729,-0.14461266,0.0054666176
26,-0.19128728,0.0015817076,-0.19128728,0.072312936,-0.11905223,-0.0013418061,-0.19151159,0.0015817076,-0.19151159,0.1431461,-0.13070649,0.015380488,-0.19065154,0.0015817076,-0.19065152,0.175482,-0.14438635,0.003386221
27,-0.19100168,0.0015817076,-0.19100168,0.07140251,-0.12276308,0.0010491952,-0.19106969,0.0015817076,-0.19106969,0.14349589,-0.13441144,0.017769584,-0.18998611,0.0015817076,-0.1899861,0.17856687,-0.14540799,0.005720441
28,-0.19100952,0.0015817076,-0.19100952,0.06796686,-0.12271065,0.0008402527,-0.19088808,0.0015817076,-0.19088808,0.13901322,-0.13583228,0.01756114,-0.18952149,0.0015817076,-0.18952148,0.17779517,-0.14637752,0.005490455
29,-0.1917588,0.0015817076,-0.1917588,0.06746886,-0.1168375,-0.0012375161,-0.19176698,0.0015817076,-0.19176696,0.13520533,-0.13156193,0.015485467,-0.1905029,0.0015817076,-0.19050288,0.17361438,-0.14515652,0.003408435
30,-0.19242199,0.0015817076,-0.19242199,0.068978794,-0.11787367,0.0006126381,-0.19247851,0.0015817076,-0.19247848,0.13756025,-0.13211676,0.017350128,-0.19127533,0.0015817076,-0.19127531,0.17570174,-0.14519708,0.005365624
31,-0.19418034,0.0015817076,-0.19418034,0.07132341,-0.120755725,-0.0008022746,-0.19427738,0.0015817076,-0.19427735,0.14197586,-0.13378526,0.016133834,-0.19314806,0.0015817076,-0.19314805,0.17935817,-0.14544961,0.0044519412
32,-0.19985633,0.0015817076,-0.19985633,0.071420684,-0.11740769,-0.00021870827,-0.20004317,0.0015817076,-0.20004314,0.14036052,-0.13121559,0.016746564,-0.19899093,0.0015817076,-0.19899091,0.17691542,-0.14467034,0.004922064
33,-0.19991088,0.0015817076,-0.19991088,0.0714269,-0.11530627,-0.0017012812,-0.20015486,0.0015817076,-0.20015483,0.1391193,-0.12971628,0.014954517,-0.19914494,0.0015817076,-0.19914493,0.17554802,-0.14398064,0.0033712522
34,-0.20167045,0.0015817076,-0.20167045,0.07254865,-0.118729204,-0.00018285084,-0.20187454,0.0015817076,-0.20187451,0.14188506,-0.13233632,0.01576865,-0.20081191,0.0015817076,-0.2008119,0.17866105,-0.14418004,0.0039104703
35,-0.19988906,0.0015817076,-0.19988906,0.072088815,-0.11756517,0.00027591758,-0.20010376,0.0015817076,-0.20010373,0.14056619,-0.13168877,0.015877677,-0.19903356,0.0015817076,-0.19903354,0.17778912,-0.14395097,0.0027718106
36,-0.19296072,0.0015817076,-0.19296074,0.07185598,-0.115888916,-0.0001057554,-0.19321696,0.0015817076,-0.19321693,0.13942115,-0.13050325,0.0152163915,-0.19219203,0.0015817076,-0.19219202,0.17698728,-0.14366397,0.0012361647
37,-0.1856969,0.0015817076,-0.18569691,0.07302253,-0.11522224,-7.1889954e-05,-0.18603417,0.0015817076,-0.18603414,0.14054951,-0.12985241,0.014966823,-0.18511018,0.0015817076,-0.18511017,0.17804332,-0.14335908,0.0012037845
38,-0.20007625,0.0015817076,-0.20007627,0.076108485,-0.12249393,-0.0007640992,-0.20037512,0.0015817076,-0.2003751,0.14747682,-0.1356313,0.014075784,-0.19935371,0.0015817076,-0.1993537,0.18540224,-0.14311256,0.00051976903
39,-0.20075877,0.0015817076,-0.20075879,0.07344505,-0.118596226,-0.0008658605,-0.2010547,0.0015817076,-0.20105468,0.14165965,-0.13455205,0.013747213,-0.19989222,0.0015817076,-0.19989221,0.18270683,-0.14248477,-0.00028182683
40,-0.20013751,0.0015817076,-0.20013751,0.068957634,-0.1103121,6.9330563e-06,-0.20044355,0.0015817076,-0.20044352,0.13147298,-0.13059577,0.014522012,-0.19913086,0.0015817076,-0.19913085,0.1760228,-0.14145333,0.0003089792
41,-0.18680508,0.0015817076,-0.18680508,0.06887568,-0.11535598,0.002394306,-0.1870077,0.0015817076,-0.18700767,0.13438746,-0.13525954,0.016946018,-0.18560731,0.0015817076,-0.1856073,0.18207254,-0.14190225,0.002855674
42,-0.17875049,0.0015817076,-0.17875049,0.0703508,-0.120125405,0.0054234797,-0.1789152,0.0015817076,-0.17891517,0.13883533,-0.13910422,0.019988919,-0.17750625,0.0015817076,-0.17750624,0.18802063,-0.14238405,0.005946862
