Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
1,0.045506023,0.03747796,0.04551515,0.050034348,0.04341693,0.03947095,0.04563125,0.038609643,0.045634244,0.04994501,0.03216491,0.027967103,0.045725126,0.04021425,0.045727625,0.049735285,0.01909488,0.017828371,0.04580199,0.041995335,0.045804434,0.049396627,0.009821175,0.008388365,0.045869477,0.043576468,0.04586789,0.048958804,0.0022767005,0.0030172234,0.045924515,0.04479153,0.04591553,0.048717245,-0.038917452,0.00056772056
2,0.093001,0.024326408,0.093125075,0.094335765,0.08692099,0.07337648,0.09332809,0.03126102,0.093263306,0.093624964,0.031256475,0.031087968,0.0932896,0.042771287,0.09300656,0.09221871,-0.01022037,-0.005131208,0.09294603,0.055088103,0.09238168,0.09077139,-0.027670482,-0.023020571,0.09229396,0.06490453,0.091345765,0.08972151,-0.039633475,-0.029897956,0.091177344,0.071745045,0.08981877,0.090213716,-0.08566178,0.00017945547
3,0.11125084,-0.0062194467,0.112263374,0.12616593,0.13683924,0.11709235,0.114343695,0.004209281,0.11407621,0.12472042,0.06619117,0.06873456,0.1144145,0.024966642,0.11251786,0.1220004,-0.0041175317,0.019828962,0.112103604,0.045026127,0.10820011,0.12134195,-0.03911299,-0.008898769,0.10753335,0.06026157,0.10090812,0.12290204,-0.06380021,-0.018060774,0.09969811,0.07404581,0.091065556,0.12615371,-0.12669541,6.81099e-05
4,0.09713235,-0.030572344,0.09855803,0.14620109,0.16223486,0.13362525,0.10376776,-0.020239562,0.102967836,0.14355163,0.08249603,0.08077292,0.10454135,0.0055454066,0.10087515,0.13928726,-0.0013691972,0.034873217,0.10106288,0.030134432,0.09384913,0.13930555,-0.045140058,0.006619006,0.09361961,0.04966425,0.08187684,0.14325687,-0.07837529,-0.004981416,0.080767915,0.071249254,0.06640196,0.14855234,-0.1503391,-0.00021496057
5,0.09090812,-0.03459777,0.09177118,0.15457232,0.14756136,0.1401835,0.09613202,-0.021631025,0.09409076,0.14832084,0.06789039,0.10127836,0.0943333,0.0038686432,0.08969653,0.14255205,-0.0058668633,0.056962598,0.09009606,0.027044239,0.082016855,0.14242895,-0.041184105,0.02973054,0.08250153,0.05076114,0.0690983,0.14584549,-0.07676096,0.0137252705,0.06930027,0.07828541,0.05325306,0.15056953,-0.15199077,-0.0003283687
6,0.10153639,-0.025209267,0.10150371,0.15524417,0.1161053,0.15190636,0.101508126,-0.0064755008,0.09810778,0.14421879,0.040421013,0.1372772,0.09459444,0.016358975,0.08986294,0.13770679,-0.013980845,0.08919661,0.08984789,0.03345598,0.08287535,0.13750747,-0.033588015,0.05756734,0.083834186,0.06041388,0.07129548,0.13854581,-0.0695649,0.036545165,0.0731173,0.09292442,0.05802662,0.1412423,-0.14840543,-0.0002465237
7,0.107775725,-0.020244747,0.10714772,0.15368006,0.079414435,0.15221176,0.10467602,0.0035364092,0.10022398,0.13829596,0.0039832103,0.15207842,0.094936006,0.024324432,0.09018825,0.1312741,-0.03878009,0.095789894,0.09055529,0.039109446,0.08438816,0.13004251,-0.0442584,0.064232305,0.086095676,0.07002846,0.07398316,0.1286835,-0.078570224,0.04552877,0.077607706,0.105202675,0.062670715,0.13116996,-0.15564232,-0.00017746123
8,0.107552044,-0.022893872,0.10629187,0.15266477,0.046793845,0.14213741,0.10304327,0.0021308078,0.097897805,0.13448468,-0.032112636,0.14636615,0.09290776,0.021882823,0.08793747,0.12677653,-0.071911335,0.08305557,0.08923715,0.0404937,0.08290886,0.12317741,-0.06794446,0.0585995,0.08559134,0.07699085,0.07252963,0.12018996,-0.10153351,0.04601392,0.07797486,0.11214272,0.061301544,0.1252872,-0.17335296,-0.0003098593
9,0.10845569,-0.030739168,0.106046714,0.15493156,0.026178963,0.13493052,0.10254266,-0.0077721663,0.09700371,0.13536273,-0.055566862,0.13994971,0.09245461,0.010793191,0.087445974,0.12668304,-0.09510188,0.07677267,0.08919867,0.034543417,0.082307294,0.12049069,-0.08633577,0.06712871,0.08564861,0.07624717,0.0700776,0.1175132,-0.123325236,0.064952016,0.076495625,0.11100271,0.05549773,0.12612213,-0.1926274,-0.00048690848
10,0.11606422,-0.038838126,0.112332106,0.15943965,0.016803743,0.13721809,0.107871816,-0.018135713,0.10207863,0.1396118,-0.06260141,0.14336328,0.09667751,-0.0007630652,0.09185035,0.1305022,-0.10046963,0.08582568,0.092852905,0.027147733,0.0856007,0.12257126,-0.09163266,0.091535166,0.088778704,0.07209151,0.07055533,0.12076663,-0.13655385,0.09819415,0.0766635,0.106991276,0.05091637,0.13182336,-0.2060467,-0.00025367743
