Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_kappa,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_kappa,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_kappa
1,-0.006690409,-0.018956091,-0.0073176045,-0.047813214,0.010190822,0.011753728,-0.005847197,-0.0036206222,-0.006027896,-0.0421163,0.002335648,0.009019858,-0.0055590044,0.04270853,-0.005731033,-0.032324977,-0.0014782255,0.005572175,-0.005863577,0.040099036,-0.0063201003,-0.02349492,-0.010938303,0.002609651,-0.0073103863,0.03257336,-0.007880185,-0.017004764,-0.014340507,0.0016620625,-0.011075865,0.037076943,-0.01147452,-0.012107691,-0.015483168,0.0033839396
2,-0.015747482,-0.03860877,-0.017547835,-0.092806146,-0.011007921,0.021332059,-0.011404666,-0.007106776,-0.011467678,-0.076884285,-0.026762215,0.01702744,-0.009043943,0.043441053,-0.009262923,-0.046816964,-0.032731198,0.009315557,-0.008964037,0.03738428,-0.0100058345,-0.020478023,-0.04402043,0.0029148082,-0.012279213,0.030314524,-0.0135444775,-0.0025518837,-0.048993934,0.0014382815,-0.021430973,0.049506996,-0.022146083,0.009637392,-0.05167265,0.0034043929
3,-0.024003712,-0.04909341,-0.028354095,-0.13405998,-0.028110245,0.022321656,-0.018945843,-0.0024805425,-0.018982986,-0.10840006,-0.057624027,0.014295065,-0.016636739,0.05105973,-0.017262667,-0.058797676,-0.0667448,0.0037138814,-0.019147975,0.042595435,-0.021330759,-0.016187979,-0.079614915,-0.0029186555,-0.028482843,0.0364623,-0.031139467,0.011826834,-0.08605688,-0.0041160444,-0.04934194,0.06605053,-0.051927846,0.030322323,-0.09032832,-0.0013480498
4,-0.035841152,-0.05341124,-0.043265834,-0.17081916,-0.029999362,0.023069113,-0.030686822,0.0106116375,-0.030681854,-0.14011623,-0.07754642,0.01060197,-0.02776036,0.06804805,-0.02911807,-0.076930165,-0.09249833,-0.0035505742,-0.032137986,0.057517994,-0.03589737,-0.022556186,-0.107677266,-0.011056143,-0.045607574,0.051572245,-0.04990534,0.013343046,-0.11617966,-0.013322475,-0.072210945,0.087580025,-0.07647972,0.037084773,-0.12643693,-0.0124634495
5,-0.04946394,-0.06225232,-0.059643257,-0.19854315,-0.018368274,0.019585503,-0.04274414,0.020332053,-0.042490028,-0.1658326,-0.086893104,0.0033475356,-0.03772239,0.08076326,-0.039394308,-0.09521823,-0.10904728,-0.0134608755,-0.04195157,0.068660036,-0.047157556,-0.034261897,-0.12660907,-0.020738333,-0.05652019,0.0641945,-0.062479015,0.006628875,-0.13730462,-0.024263032,-0.083321005,0.10518915,-0.08965671,0.034117583,-0.15593536,-0.02683155
6,-0.06004341,-0.066593856,-0.072465345,-0.21530485,-0.014678369,0.015660098,-0.053076,0.028724998,-0.05255083,-0.17863058,-0.09819921,-0.0023227434,-0.04843558,0.08984044,-0.050207384,-0.102786765,-0.12319513,-0.019130625,-0.055026907,0.078123756,-0.06097732,-0.03788667,-0.14097925,-0.025180118,-0.07367693,0.07486686,-0.080599986,0.0059392867,-0.15191594,-0.028480008,-0.10438912,0.116253614,-0.112657495,0.035732448,-0.17212239,-0.02965908
7,-0.06647374,-0.06490832,-0.081010975,-0.22118098,-0.0132660065,0.008371182,-0.060196433,0.03639746,-0.05944872,-0.17815389,-0.10783528,-0.00878028,-0.05818934,0.09485162,-0.05979742,-0.09925578,-0.13144353,-0.02176401,-0.06946724,0.085256554,-0.0750556,-0.03278764,-0.14750537,-0.025129702,-0.09471475,0.0817923,-0.10143979,0.012082087,-0.15664396,-0.026504625,-0.13226509,0.11910155,-0.14176407,0.042801753,-0.17094488,-0.020740554
8,-0.0787837,-0.061923638,-0.09629669,-0.22278416,0.0087275915,0.0049201385,-0.07209121,0.047143817,-0.070743546,-0.17710723,-0.100345194,-0.013350005,-0.07009113,0.10177428,-0.07168357,-0.09860221,-0.12481465,-0.021851063,-0.08375065,0.09307311,-0.08871446,-0.03294546,-0.1404894,-0.022867667,-0.11148875,0.08746483,-0.11681287,0.011565694,-0.14993419,-0.023872057,-0.14790201,0.12067271,-0.15575193,0.04259118,-0.16643217,-0.018490793
9,-0.08181346,-0.058030605,-0.10128765,-0.22087692,0.017402649,-0.003867106,-0.074561425,0.05414337,-0.07306696,-0.17065677,-0.10152496,-0.019746883,-0.07357134,0.10486044,-0.07535777,-0.09268237,-0.12475615,-0.021750152,-0.089827366,0.097568564,-0.093790464,-0.028435113,-0.13892235,-0.02069105,-0.11952362,0.090152726,-0.12329993,0.01530488,-0.147037,-0.022006802,-0.15632991,0.11770341,-0.16324858,0.04607744,-0.16010955,-0.017176906
10,-0.08558548,-0.05346051,-0.10694424,-0.21987848,0.018159145,-0.004009102,-0.07868389,0.061139386,-0.0768434,-0.1647748,-0.10640142,-0.017818594,-0.07851008,0.10913301,-0.07978057,-0.08744505,-0.12676956,-0.015766604,-0.09580085,0.10299305,-0.09761,-0.024471667,-0.13916478,-0.016038444,-0.12466706,0.09360742,-0.12600744,0.018728321,-0.14614029,-0.020336274,-0.15947667,0.11392926,-0.16518728,0.049159233,-0.15634765,-0.019979583
