Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
13,-0.014325053,0.06632013,-0.010338349,0.12679037,-0.21546417,-0.042241774,0.026029265,0.084832765,0.00646675,0.115068495,-0.164187,-0.08468705,0.024437625,0.111054875,0.01050894,0.0771314,-0.15036331,-0.11743496,0.049820777,0.10997204,0.03135096,0.076739065,-0.17207693,-0.13982937,0.037008133,0.067147404,0.019063624,0.096995644,-0.20150293,-0.18579768,-0.029250922,0.03339779,-0.04309283,0.11108774,-0.2119318,-0.2557739
14,-0.017515404,0.05643264,-0.014015112,0.1282215,-0.22431716,-0.029743943,0.029057043,0.08036541,0.005380229,0.11509767,-0.16524908,-0.078651175,0.028833129,0.11358106,0.010067266,0.07438412,-0.14907178,-0.11713573,0.05560582,0.115778595,0.031805966,0.074865505,-0.17102236,-0.14197439,0.042735435,0.07080953,0.021234298,0.09715816,-0.20344305,-0.1915276,-0.026018,0.029448584,-0.041400626,0.11227863,-0.21527597,-0.26733482
15,-0.021343583,0.047182005,-0.01788732,0.12905389,-0.23061465,-0.017856332,0.03092397,0.07597046,0.0038640376,0.116213895,-0.16280036,-0.07128878,0.031529024,0.11557502,0.008525021,0.073425725,-0.14389619,-0.11508233,0.05883441,0.12014723,0.029934134,0.0750823,-0.16607878,-0.14245428,0.044725716,0.073016964,0.019453302,0.09941629,-0.20192592,-0.19538763,-0.027904322,0.023872685,-0.04469755,0.1154358,-0.21404074,-0.27563846
16,-0.023958704,0.04095574,-0.020397509,0.12874724,-0.23983699,-0.007915114,0.03438347,0.07353312,0.0040855384,0.117079906,-0.16291429,-0.065063864,0.03613757,0.11923987,0.0085098585,0.07258576,-0.14096932,-0.11376251,0.06357189,0.12616761,0.02924327,0.07518634,-0.16306199,-0.1433854,0.0481069,0.0772705,0.019064652,0.10124761,-0.20216647,-0.19934915,-0.027955797,0.020082977,-0.045961365,0.1180496,-0.21449101,-0.28362864
17,-0.026340764,0.035129417,-0.022465007,0.12880467,-0.25021276,0.00069645373,0.038123798,0.070997395,0.004771127,0.119108066,-0.16293234,-0.058869824,0.0408298,0.12320829,0.008362885,0.07294068,-0.13720888,-0.1117282,0.06771787,0.13269658,0.027648803,0.07629774,-0.15897527,-0.14323668,0.050326537,0.08239071,0.017220782,0.1038754,-0.2016649,-0.20208798,-0.02964527,0.016405025,-0.04871267,0.12137702,-0.2135428,-0.28966236
18,-0.029792637,0.029357245,-0.02573727,0.12981729,-0.26226094,0.0067003425,0.040366594,0.06800252,0.0039644954,0.12108019,-0.16496353,-0.054966997,0.044139396,0.1269807,0.006661431,0.0731003,-0.13552812,-0.111008056,0.070567556,0.13927665,0.02463187,0.07717386,-0.15647785,-0.14307082,0.051679265,0.088324636,0.014590922,0.106032684,-0.20238972,-0.20401132,-0.031186268,0.013974891,-0.051093012,0.12419141,-0.2139335,-0.2939619
19,-0.03187867,0.023695646,-0.0275865,0.13037297,-0.2741965,0.011971497,0.043782204,0.06463589,0.004570516,0.123155825,-0.16670047,-0.05138295,0.04853497,0.13020132,0.00597022,0.07362375,-0.13357793,-0.11038724,0.07398431,0.14516205,0.021968404,0.07843988,-0.15365025,-0.1428849,0.053042717,0.09396334,0.011776453,0.10839535,-0.20281494,-0.20586601,-0.03296714,0.011563005,-0.05356889,0.12706769,-0.213879,-0.29761612
20,-0.032991115,0.016768886,-0.028430613,0.13141018,-0.2853898,0.017165354,0.047894917,0.060129225,0.006065646,0.12526384,-0.16770339,-0.04805989,0.05363894,0.13258274,0.0058151786,0.07418758,-0.1312658,-0.11003467,0.0777959,0.15006904,0.019257566,0.07992692,-0.1504555,-0.14282233,0.05427273,0.0989834,0.008462055,0.11089912,-0.20294932,-0.20785335,-0.035119314,0.008814718,-0.05629578,0.12999205,-0.21354672,-0.30101505
21,-0.033786736,0.010649717,-0.028976649,0.13350719,-0.29611915,0.021841504,0.052005332,0.056017093,0.007713699,0.12772553,-0.16878892,-0.045298766,0.05889252,0.13573861,0.005606357,0.074870266,-0.12943625,-0.10964199,0.08171975,0.1556982,0.016402505,0.08142415,-0.14797132,-0.14251812,0.05564152,0.1047524,0.005163297,0.113243155,-0.20378378,-0.2095982,-0.0368185,0.0068781218,-0.05844819,0.13265313,-0.2139455,-0.303596
22,-0.036371954,0.006131934,-0.03145546,0.13344723,-0.3056754,0.025288364,0.05428869,0.054162513,0.0077251303,0.12875322,-0.16960248,-0.043302044,0.06288754,0.140997,0.0041084373,0.07521022,-0.12775598,-0.109051645,0.08466119,0.16273774,0.0123889465,0.08307685,-0.14585881,-0.14217468,0.056026466,0.11138874,0.0005922497,0.115862116,-0.20519926,-0.21154115,-0.039730392,0.0052965917,-0.06169593,0.13554978,-0.21450564,-0.3054521
