Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_kappa,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_kappa,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_kappa
1,-0.014060037,0.04352231,-0.01242453,-0.040483907,0.008117582,-0.0065509654,-0.020808756,0.04664745,-0.020544106,-0.038428247,0.0284535,-0.0010237484,-0.025953978,0.04615999,-0.026794728,-0.03744109,0.028871568,0.004955192,-0.029486332,0.044824176,-0.030710354,-0.03719025,0.029302021,0.0123298615,-0.032053754,0.043235116,-0.033039734,-0.03707332,0.029929668,0.021878973,-0.03344177,0.042311534,-0.033798654,-0.03672007,0.031545043,0.031718727
2,0.012739488,0.048528966,0.014930872,-0.06241133,-0.010536046,-0.027725238,0.00447297,0.060096134,0.003339808,-0.05256391,0.008928274,-0.024952507,-0.004635632,0.062397998,-0.008259956,-0.046800297,0.008983525,-0.017606428,-0.0124675445,0.06087793,-0.017039191,-0.04236652,0.009199621,-0.0067200535,-0.01909469,0.058295336,-0.022782056,-0.03768119,0.009939743,0.007845929,-0.02312665,0.059485916,-0.024381014,-0.03269792,0.013680844,0.023374232
3,0.019164013,0.04575323,0.020233473,-0.072426215,-0.021097401,-0.031065896,0.008542893,0.066044524,0.0055287303,-0.051324025,0.0016507955,-0.02846051,-0.0016389402,0.06957869,-0.007878361,-0.039167985,0.00056066824,-0.02027997,-0.010470727,0.06831361,-0.018477436,-0.029635454,-0.0016810258,-0.007838659,-0.018878432,0.06652298,-0.025677772,-0.019971278,-0.0019445955,0.010216323,-0.023806138,0.0713056,-0.02645095,-0.010590304,0.0071700686,0.02754366
4,0.018462269,0.04149318,0.018115016,-0.076080084,-0.025541233,-0.03209383,0.004185493,0.071258955,-0.0006799034,-0.045447916,0.0013117105,-0.02614931,-0.0071713193,0.07597372,-0.01550921,-0.027912995,-0.0005952392,-0.015913613,-0.016599828,0.07494559,-0.027143573,-0.014224121,-0.0052641984,-0.0019734,-0.026236944,0.07416527,-0.035257567,-0.00065886043,-0.0064036557,0.01908897,-0.031624228,0.082031846,-0.03531245,0.012024107,0.008734956,0.03746178
5,0.028298078,0.03340669,0.02677703,-0.08002056,-0.027488958,-0.045242086,0.009697808,0.07619032,0.0028784035,-0.0464684,0.00081390113,-0.032693114,-0.005363661,0.085023165,-0.014533519,-0.026600372,-0.00022099796,-0.01845153,-0.016971618,0.08451507,-0.027393121,-0.010863375,-0.004676317,-0.0026359265,-0.027919872,0.08418804,-0.036024805,0.004764424,-0.0050687846,0.020837113,-0.032935746,0.09418855,-0.035473023,0.019443823,0.01326032,0.043177884
6,0.033392835,0.027420126,0.030022616,-0.08887663,-0.031241123,-0.04783577,0.0113378335,0.08740089,0.0017167001,-0.05552011,0.002165818,-0.029049508,-0.008770874,0.09956449,-0.017388316,-0.034254935,0.006032373,-0.0117128845,-0.02225572,0.09742187,-0.029432891,-0.017603047,0.0045834975,0.0048181913,-0.032413304,0.09672557,-0.03568464,-0.0014163159,0.006616422,0.0286509,-0.03358882,0.10923114,-0.031826455,0.013835553,0.026930211,0.05525867
7,0.044858266,0.020924978,0.0404567,-0.09192819,-0.030938633,-0.05858468,0.020628734,0.090691485,0.008732219,-0.058019966,0.0027944488,-0.03574638,-0.0031854855,0.10804902,-0.013132026,-0.035796244,0.00876329,-0.014548596,-0.01968624,0.106170185,-0.026991129,-0.018144283,0.008921815,0.004914902,-0.031769443,0.10492485,-0.03435607,-0.0009695657,0.012403263,0.03303632,-0.03276481,0.11832673,-0.029720925,0.01530216,0.03539866,0.06528491
8,0.043631185,0.022908067,0.03823955,-0.09756802,-0.03019528,-0.057053246,0.018926594,0.09787582,0.0055301664,-0.058113255,0.008116961,-0.034671154,-0.0063089756,0.117317595,-0.017480198,-0.03344727,0.015016538,-0.012117546,-0.024361147,0.115421824,-0.032455396,-0.014486267,0.01581033,0.009633388,-0.037603475,0.11354322,-0.04058521,0.0036445083,0.02044042,0.04155579,-0.03814258,0.12731487,-0.03486489,0.020592373,0.047467567,0.07705062
9,0.04668148,0.023835326,0.040349066,-0.10172583,-0.0281497,-0.05872087,0.021660494,0.10076354,0.007164618,-0.056789666,0.012095796,-0.03765278,-0.004317778,0.12256447,-0.017204773,-0.030030826,0.018783625,-0.013467741,-0.024027823,0.121298596,-0.033919036,-0.00978616,0.019845119,0.011221125,-0.038983047,0.118785456,-0.043464784,0.00944186,0.02538182,0.047134712,-0.039996855,0.13303338,-0.036889445,0.027273616,0.05619345,0.08385418
10,0.05039691,0.023912301,0.043263737,-0.107597336,-0.026133122,-0.060706604,0.02513328,0.10227657,0.010295592,-0.05888313,0.015308266,-0.041099854,-0.0013330356,0.12560873,-0.014729234,-0.03072876,0.022180015,-0.015669262,-0.022164904,0.12469462,-0.032399006,-0.009681851,0.02411168,0.011523294,-0.03827416,0.12167795,-0.04263096,0.010248025,0.030905912,0.051145904,-0.039514005,0.13710694,-0.034783706,0.028695045,0.064641885,0.088697
