Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_kappa,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_kappa,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_kappa
13,-0.030941274,0.025135703,-0.03442536,0.0045089787,0.052992184,0.042640522,-0.017867386,0.09125195,-0.018754387,0.03642631,0.033135418,0.0002433699,-0.0008747825,0.09218169,-0.014217915,0.051994003,0.024684628,-0.0091663655,0.005205903,0.09982613,-0.01437277,0.05407241,0.023419447,-0.0005236324,0.005320415,0.10764456,-0.009685961,0.05569458,0.032990854,0.00204221,0.003955443,0.11890297,-0.0029164478,0.057507746,0.060595788,-0.010477457
14,-0.03153338,0.023188854,-0.035203736,0.010326029,0.05369788,0.044296872,-0.017389514,0.093326025,-0.018189931,0.038975343,0.033909652,0.00095920154,0.0008484777,0.09384217,-0.012920543,0.05434846,0.025164634,-0.009049771,0.007409895,0.101732776,-0.01304677,0.05592941,0.023385549,-0.00020923169,0.007451917,0.10973353,-0.008545341,0.057315137,0.033108138,0.0030728648,0.0058437055,0.12048764,-0.0015537355,0.05909827,0.061247677,-0.009264556
15,-0.031991705,0.021891052,-0.035640754,0.010691443,0.05671764,0.04294253,-0.017065408,0.09591689,-0.017817767,0.0369085,0.03604197,-0.0006016329,0.0019304105,0.09653684,-0.012352869,0.052723892,0.026722027,-0.010769974,0.008321461,0.10513669,-0.013041373,0.054046232,0.024422199,-0.0013735995,0.0077055395,0.113608085,-0.009513276,0.055299416,0.034117837,0.003235738,0.0049665757,0.124219224,-0.0035043452,0.057098996,0.0623253,-0.0074535306
16,-0.03226439,0.02098167,-0.03607524,0.017661521,0.057275042,0.045097563,-0.016305478,0.097401954,-0.016724652,0.039752875,0.037398826,0.0005313498,0.003947532,0.09784713,-0.010207031,0.055268396,0.027765239,-0.010962589,0.011066903,0.106611006,-0.010714635,0.056106374,0.024673784,-0.0019212132,0.010560965,0.1153049,-0.007364169,0.05716569,0.03428679,0.003318971,0.007675592,0.12535243,-0.0011652254,0.059002705,0.06279193,-0.006810232
17,-0.031201486,0.022863202,-0.03511461,0.01961152,0.058647804,0.044235013,-0.014669638,0.0986861,-0.015397232,0.039502915,0.038895916,7.819137e-05,0.0058638058,0.09919351,-0.00862816,0.055003732,0.028965348,-0.011806144,0.012842277,0.1086072,-0.009590155,0.055343572,0.0252905,-0.002582205,0.011789725,0.11776565,-0.00697425,0.05621788,0.034958307,0.0035082079,0.00810394,0.12758209,-0.0013691362,0.058109794,0.063689336,-0.005602195
18,-0.030641012,0.026036888,-0.034657333,0.021863341,0.059616942,0.044322055,-0.013710501,0.10022513,-0.0148308175,0.03996622,0.040213462,0.0008987733,0.006947931,0.10064135,-0.0077437274,0.055297077,0.030154575,-0.011423295,0.01391832,0.11049079,-0.00892638,0.05505216,0.02591914,-0.0022457945,0.012580149,0.1200282,-0.006721644,0.05569674,0.035659578,0.0043692524,0.008475662,0.1295437,-0.0013608298,0.057621688,0.0646221,-0.0041029123
19,-0.029687019,0.0286124,-0.033868324,0.025504606,0.059492458,0.04435318,-0.012370244,0.10099036,-0.013724521,0.042176913,0.04053577,0.0012329948,0.008629833,0.10137863,-0.006100395,0.0570227,0.030325096,-0.011806994,0.01581138,0.11164584,-0.0073487507,0.05607109,0.02546212,-0.002659357,0.014298735,0.1214787,-0.005374301,0.056500234,0.035258275,0.004462045,0.009988558,0.13061783,5.3872645e-05,0.05847972,0.0643811,-0.003755018
20,-0.029281288,0.031023199,-0.033545393,0.026096992,0.060593523,0.043620642,-0.011751105,0.101910934,-0.013351512,0.041876033,0.0414561,0.00109358,0.009414263,0.10251758,-0.0054227053,0.05661325,0.030983176,-0.012492094,0.016500333,0.11342655,-0.0069875265,0.055075973,0.025598392,-0.003240939,0.014522531,0.123731926,-0.005576201,0.055316847,0.03551306,0.0045548836,0.009596059,0.13276662,-0.00067392207,0.05734268,0.0647817,-0.0028312292
21,-0.0297411,0.03196826,-0.034103874,0.028932203,0.06105229,0.04423359,-0.011909066,0.10245019,-0.013338813,0.04361077,0.041842293,0.0016207349,0.009939731,0.10319494,-0.004551126,0.05813981,0.031120034,-0.013141401,0.0175414,0.11439557,-0.005926611,0.056021407,0.02507794,-0.004155809,0.015586886,0.12504373,-0.0046404945,0.05607506,0.034959044,0.004130118,0.010559113,0.13389319,0.00028858,0.058150794,0.06423963,-0.0028451164
22,-0.029898977,0.033575416,-0.034387335,0.030034184,0.061867066,0.044238724,-0.01195123,0.10291372,-0.0134122865,0.043984294,0.04239471,0.001924112,0.010295804,0.10388722,-0.004028354,0.058404744,0.031429652,-0.013769734,0.018103769,0.11556339,-0.0054705315,0.055699687,0.024827544,-0.0048889886,0.015894141,0.12665558,-0.004546959,0.055553284,0.034776364,0.0039312793,0.010474438,0.13547014,5.5512064e-05,0.05766102,0.06412797,-0.0024342716
23,-0.029994551,0.035447508,-0.034656227,0.031608906,0.062536575,0.044343244,-0.011996487,0.103201106,-0.013535523,0.044623002,0.042958178,0.0024176394,0.010593289,0.10440964,-0.0035509267,0.058829006,0.031808987,-0.014197123,0.018615229,0.1165501,-0.0050451146,0.05549078,0.024645492,-0.0054114894,0.016162986,0.12807928,-0.0044364827,0.055121098,0.034674115,0.0038926534,0.010412566,0.1368628,-8.9211695e-05,0.057246897,0.0641232,-0.001962685
24,-0.029431712,0.037571263,-0.034381066,0.033718448,0.062394578,0.044495013,-0.011488253,0.10308538,-0.013203488,0.04611448,0.042833008,0.00295367,0.011378833,0.104442604,-0.0026104753,0.05998779,0.031589054,-0.014548588,0.0196637,0.116975665,-0.004095365,0.055974543,0.023913098,-0.0058180545,0.017024886,0.12885538,-0.0036645012,0.05538246,0.034040067,0.003848722,0.011105905,0.13754942,0.00067608396,0.057528645,0.06356105,-0.001880128
25,-0.028594097,0.03996072,-0.033895656,0.034721877,0.06262367,0.044170387,-0.010738504,0.10257117,-0.0128144715,0.046246424,0.043032598,0.0032457232,0.012264611,0.1042567,-0.0017562059,0.059876204,0.031623352,-0.015073985,0.020567553,0.11744461,-0.003496846,0.055205096,0.02343167,-0.006299942,0.017429668,0.12984012,-0.0035542382,0.054398153,0.033710513,0.0038247523,0.010962441,0.1386506,0.00038103046,0.05657077,0.06335821,-0.0015670846
