Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
1,0.044954423,0.050410025,0.044986688,-0.006211257,-0.019307457,-0.006366,0.04496881,0.050237015,0.04499695,-0.004575639,-0.019237744,-0.008243517,0.04498468,0.050054036,0.04501185,-0.002561044,-0.019132365,-0.011216154,0.04500657,0.04986523,0.045030095,0.00030484237,-0.018967554,-0.015481936,0.045032278,0.049695473,0.045048,0.0037746974,-0.018625151,-0.018168379,0.045058,0.04958199,0.04506298,0.007553579,-0.021260088,-0.0010377183
2,0.091864556,0.09682294,0.09199342,-0.032970708,-0.018655576,-0.0014370116,0.09194144,0.09625165,0.09219897,-0.023038274,-0.016512211,-0.005921588,0.09213968,0.09578402,0.092406735,-0.011208567,-0.015842443,-0.01096588,0.09232503,0.09541957,0.09246341,0.002667388,-0.01648232,-0.016834084,0.09234084,0.09515427,0.09231382,0.015250606,-0.019402029,-0.020502143,0.09215235,0.09501292,0.09204586,0.02621653,-0.06312842,-0.005300769
3,0.11744469,0.12688786,0.12000745,-0.041177765,0.0014125123,0.011168383,0.12004226,0.123693496,0.12175039,-0.017792843,0.0008869814,-0.0032990996,0.12155066,0.122948654,0.12171044,0.0031942509,-0.0008244151,-0.01361317,0.12138629,0.12441121,0.12052773,0.022664055,-0.001497505,-0.019332357,0.12010731,0.12572466,0.1196027,0.034831695,-0.003332322,-0.020444034,0.11915973,0.12531196,0.12016377,0.040920667,-0.066894665,-0.0066582556
4,0.1022007,0.12852922,0.10634794,-0.04171439,0.0072076963,0.0076412717,0.10642428,0.1245284,0.10883096,-0.007051227,-0.00025108084,-0.023367858,0.10853919,0.12642923,0.10829733,0.015616098,-0.0027639538,-0.039661914,0.10784234,0.1334639,0.10670273,0.031077895,0.006872413,-0.04127525,0.10600845,0.13423032,0.1066442,0.033141892,0.02024291,-0.039323635,0.1058463,0.12467898,0.11105801,0.025579855,-0.0311157,-0.007697117
5,0.07982811,0.11526163,0.08481464,-0.04870128,-0.0072730295,-0.014996891,0.08436577,0.114040375,0.08636134,-0.007423245,-0.020675004,-0.057439674,0.08601305,0.12105243,0.08409014,0.012035163,-0.024203101,-0.07519259,0.083929144,0.136079,0.0821132,0.021596411,-0.010016141,-0.073048614,0.08159201,0.1338639,0.0852277,0.0148562025,0.011668617,-0.073402256,0.08445768,0.1111275,0.095311046,-0.0011175666,0.0011165156,-0.008606647
6,0.06674419,0.11254843,0.07354623,-0.042977877,0.0049090483,-0.015483324,0.07320366,0.109606035,0.07682215,0.0065124314,-0.013586864,-0.06932045,0.07566556,0.11695276,0.073248476,0.027917238,-0.018926209,-0.08473063,0.0721281,0.13747907,0.069511205,0.034878492,-0.003222213,-0.07747695,0.068173006,0.13357529,0.07470803,0.016885713,0.020146886,-0.087057866,0.073786944,0.10111745,0.08956298,-0.012814813,0.023210365,-0.010257973
7,0.06811891,0.122356996,0.07930766,-0.037161727,0.024392948,-0.010619018,0.07918753,0.115549326,0.08612036,0.025005013,0.0034826244,-0.07067906,0.083767466,0.12268786,0.08154675,0.053340405,-0.0014970121,-0.074356236,0.07858056,0.14841637,0.074809134,0.061638787,0.012230592,-0.06255545,0.07191243,0.14342129,0.07983902,0.034063675,0.03589403,-0.08924969,0.07845886,0.10550153,0.09741813,-0.011366527,0.04186631,-0.012086932
8,0.07648675,0.13072304,0.0913155,-0.042910784,0.034385964,-0.010473597,0.09105205,0.12183277,0.100398794,0.03353672,0.008544484,-0.07949143,0.09768852,0.12695181,0.094623335,0.072533555,0.0035896625,-0.07256857,0.09107541,0.15842424,0.08492828,0.083288044,0.01157478,-0.061233144,0.08160459,0.15356556,0.09011683,0.044179436,0.0335034,-0.106734,0.08920114,0.11348389,0.109944984,-0.016770644,0.057354666,-0.013875822
9,0.07947585,0.12630506,0.09736968,-0.060479395,0.029674858,-0.024605148,0.096371196,0.11844176,0.10702249,0.03089652,-0.0023258966,-0.105151795,0.105022214,0.122200824,0.09950451,0.08139845,-0.0050599547,-0.08909392,0.096695006,0.16354766,0.08702141,0.0930938,-0.0018204654,-0.07995386,0.084286064,0.1597579,0.09402678,0.041147467,0.014939984,-0.13994998,0.09473735,0.11778973,0.11696236,-0.030546838,0.06661762,-0.014153113
10,0.07297871,0.12163568,0.09429152,-0.0678088,0.035136707,-0.033291932,0.093282335,0.112696394,0.10616873,0.03681195,-0.0021117646,-0.12433894,0.10410016,0.11361013,0.09782891,0.09724236,-0.0002740936,-0.09751745,0.09448173,0.1630118,0.083207235,0.11008962,0.0029619033,-0.085321374,0.07972266,0.16033915,0.09178422,0.046873216,0.013868278,-0.15873653,0.0935006,0.1160773,0.11635291,-0.033152778,0.07267254,-0.013799897
