Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_kappa,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_kappa,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_kappa
13,0.0035136053,0.13664569,-0.012952489,0.19816107,0.23460467,-0.023638358,0.007444584,0.16169856,-0.0077497037,0.108828865,0.23221089,0.0036474841,0.0086044315,0.13940357,-0.004551198,0.051892135,0.22905132,0.021581154,0.0063582943,0.13751222,-0.007003269,0.039349217,0.20513077,0.029918995,0.00032525777,0.13744229,-0.0074122576,0.041037615,0.1813293,0.0045110923,-0.0010498544,0.14201504,-0.004055327,0.040142447,0.1757203,-0.018040856
14,0.0013345662,0.12899134,-0.015868163,0.20790322,0.23667254,-0.023320774,0.004417169,0.16099614,-0.011579877,0.109389596,0.23174627,0.006275365,0.0046236673,0.13530776,-0.008061725,0.048862047,0.2305227,0.0234606,0.0023263972,0.13645779,-0.010320914,0.033928577,0.20597553,0.031525757,-0.0042060455,0.13926083,-0.0113994535,0.035592195,0.17793421,0.006102239,-0.0063158837,0.1427988,-0.009302241,0.034449846,0.17029022,-0.017846825
15,0.0056608496,0.12185249,-0.01266052,0.21356887,0.23324636,-0.026933016,0.008093011,0.16359575,-0.008954363,0.107365504,0.22503379,0.0045863786,0.007413248,0.13318062,-0.0051349234,0.045312222,0.22481641,0.020567767,0.0049008997,0.13304743,-0.007477752,0.030230407,0.19932711,0.026644697,-0.0023409757,0.13649443,-0.008466267,0.03363444,0.16857533,-0.00034494163,-0.004172909,0.1405957,-0.0060360413,0.032529764,0.16277091,-0.026772639
16,0.0029666936,0.11581329,-0.016018137,0.21764228,0.23771295,-0.027647091,0.0039665014,0.16848704,-0.01371852,0.10485311,0.22478834,0.005883945,0.0021503055,0.1335061,-0.010293112,0.04089368,0.22677258,0.021647941,-0.0009255393,0.13366468,-0.012938142,0.024193428,0.20119187,0.026736317,-0.008682217,0.14024322,-0.013798715,0.02790529,0.1661127,-0.001133282,-0.009712666,0.14371705,-0.010925524,0.026570985,0.15763457,-0.029133536
17,0.00058717164,0.108968526,-0.019079125,0.22392534,0.24181649,-0.026613293,0.0004725093,0.17450655,-0.018139645,0.103324786,0.22368209,0.009904725,-0.0025003687,0.13458811,-0.01512078,0.037597556,0.22774242,0.025696924,-0.006102748,0.13433897,-0.017994275,0.019407444,0.20187308,0.029853234,-0.014159421,0.14383677,-0.018181395,0.023449106,0.16295364,0.00026267243,-0.013693725,0.14700136,-0.014085181,0.02177649,0.15231752,-0.029447336
18,0.005259967,0.102941334,-0.0151992105,0.22658345,0.24047545,-0.029381938,0.004421799,0.18300147,-0.015107388,0.09868171,0.2174623,0.009535967,0.0004404751,0.13694212,-0.012296817,0.03356453,0.22237499,0.025093429,-0.0036525913,0.13236123,-0.015547138,0.016646918,0.1956874,0.027754802,-0.012289687,0.1426643,-0.014785289,0.022934029,0.15523848,-0.0041072713,-0.010134244,0.1474553,-0.008957214,0.02100591,0.14815004,-0.0350367
19,0.0053286934,0.09770438,-0.015358215,0.2302669,0.24231951,-0.02670917,0.004029358,0.18772511,-0.015616386,0.09558495,0.21568507,0.012599668,-0.0002933389,0.13805124,-0.012378813,0.029986344,0.22085395,0.02637287,-0.004122188,0.13402507,-0.015741913,0.012469352,0.19239622,0.027448535,-0.013308306,0.14428796,-0.015141315,0.020127552,0.14861453,-0.004484854,-0.010859921,0.14837882,-0.009032517,0.017752912,0.14084727,-0.034058556
20,0.0067157964,0.0949935,-0.01407011,0.23073982,0.24315138,-0.026566235,0.0049797567,0.1935785,-0.01434398,0.090541944,0.2138614,0.012629915,0.00058589014,0.14064693,-0.010478476,0.025656087,0.21854977,0.024059892,-0.0027429431,0.13698846,-0.014036206,0.0082659805,0.18800715,0.02499995,-0.012667623,0.14559996,-0.014182185,0.01755337,0.14118049,-0.0060667247,-0.010734121,0.1483428,-0.008494281,0.014662882,0.1326902,-0.034614857
21,0.007330642,0.090455115,-0.013682581,0.23375343,0.2440327,-0.023836447,0.005350214,0.1977811,-0.014204975,0.088144064,0.21314152,0.015628817,0.0006548871,0.14167793,-0.009514649,0.023375891,0.21732177,0.02336788,-0.0019155778,0.13958365,-0.012856621,0.0054179584,0.18461926,0.023801934,-0.012231578,0.14692344,-0.013455373,0.015721424,0.13510413,-0.006744309,-0.0106922025,0.14779349,-0.008064238,0.012100849,0.125917,-0.035172854
22,0.009939656,0.08542708,-0.011514679,0.23466474,0.24314183,-0.024386004,0.0076057506,0.20265102,-0.01283908,0.08469018,0.21213336,0.017903646,0.0019218379,0.14214687,-0.0077139717,0.021184845,0.21570237,0.023017716,-0.00020925672,0.14057922,-0.010845928,0.0035363191,0.18101948,0.02299679,-0.01081582,0.14713053,-0.011581487,0.014778092,0.12970762,-0.007866001,-0.009415265,0.1463261,-0.0062515517,0.010408844,0.120645896,-0.037556145
23,0.012363255,0.082152426,-0.009373465,0.23425709,0.24275073,-0.026599921,0.009576032,0.20749873,-0.011126613,0.07972191,0.21169405,0.017976284,0.0032553282,0.14413911,-0.005671748,0.017160727,0.21394193,0.020730153,0.0013744475,0.14268973,-0.009157942,0.0002144819,0.17678425,0.021350887,-0.010090219,0.14747225,-0.010874553,0.012500188,0.12304352,-0.008597319,-0.009682931,0.14465961,-0.0063959295,0.007383154,0.11248449,-0.038063228
24,0.01130814,0.076721705,-0.010832875,0.23884787,0.24469988,-0.026822753,0.008247826,0.21155338,-0.013239019,0.07918337,0.21335788,0.020109894,0.0012462595,0.14622763,-0.0070757684,0.01606056,0.21467723,0.021297686,7.9768884e-05,0.14650905,-0.010356463,-0.0016790826,0.1749934,0.023044929,-0.011630001,0.15014994,-0.01246486,0.010584332,0.11867042,-0.006738445,-0.01157828,0.14471091,-0.008246774,0.0043154974,0.105872296,-0.036667287
25,0.011527829,0.07018903,-0.011119193,0.24608111,0.24519606,-0.026377356,0.00863281,0.2145308,-0.014189569,0.08176844,0.21339476,0.022108732,0.0008670428,0.147212,-0.006961703,0.018405005,0.21344334,0.020699168,0.0008182145,0.14875418,-0.009389911,-2.6488764e-05,0.17164576,0.022736555,-0.010537963,0.15149845,-0.010897714,0.012070775,0.11449425,-0.007769424,-0.010040781,0.14399609,-0.006134293,0.004302261,0.10270104,-0.03999924
