Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_kappa,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_kappa,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_kappa
1,-0.01081998,0.045200355,-0.009372406,-0.014829448,0.045898773,0.010651354,-0.009694621,0.044956245,-0.008670613,-0.012732703,0.045433186,0.009366446,-0.008923691,0.04465706,-0.0081145335,-0.009340289,0.04496901,0.008919677,-0.00792885,0.044611335,-0.0073063774,-0.0067653987,0.044597633,0.008260145,-0.0068143583,0.044883613,-0.006385916,-0.004698613,0.04397092,0.0065967035,-0.007748197,0.04542726,-0.007954099,-0.003037291,0.03767323,0.0017379054
2,-0.017798016,0.07010147,-0.014253727,0.010742152,0.091500044,0.018914968,-0.009774524,0.07087027,-0.007731553,0.019688457,0.08660971,0.012645285,-0.003371783,0.069757156,-0.0017656953,0.0248071,0.08380491,0.01026638,0.0034227811,0.06876156,0.0048784227,0.028102973,0.08261279,0.0073634307,0.010730478,0.0687871,0.01208505,0.030695602,0.08237587,0.0028182066,0.01597143,0.07171757,0.016454333,0.032773085,0.07881201,-0.0070459815
3,-0.028456226,0.08798882,-0.021825528,0.017337846,0.14186627,0.0108878445,-0.017023154,0.09500412,-0.013075716,0.031346805,0.13425383,0.0034377875,-0.008267919,0.09583299,-0.0060837986,0.037399784,0.12929963,0.0033112972,-0.0002817819,0.09494239,0.0005934108,0.041447926,0.12676342,0.005243728,0.007204932,0.09479556,0.0075618913,0.045242947,0.12620443,0.006692473,0.012591272,0.09918659,0.012320731,0.048594512,0.12375973,0.0014904195
4,-0.020194452,0.103441656,-0.015109292,0.023808101,0.18824844,0.00049943454,-0.009576997,0.11002305,-0.0077488692,0.042441834,0.17914602,-0.00283434,-0.00194684,0.11129462,-0.0021601869,0.04894467,0.1728212,0.0017613531,0.0050534713,0.11043669,0.0036105306,0.053478844,0.16931756,0.008785027,0.01211379,0.11016122,0.011015755,0.058519885,0.16837075,0.013707218,0.018661937,0.11588691,0.018157333,0.06299659,0.166235,0.007910494
5,-0.009150006,0.1168697,-0.007971525,0.03807779,0.21711026,-0.006409709,-0.0008977632,0.11950355,-0.0028986188,0.05711153,0.20738178,-0.006170959,0.0049288934,0.11920038,0.001436532,0.06175081,0.20005442,0.0023652518,0.011102083,0.11741167,0.0072055785,0.06543023,0.19535267,0.014491126,0.018529821,0.11653232,0.016546464,0.07082894,0.19328399,0.018905222,0.027523877,0.123356424,0.027579661,0.07547156,0.19083136,0.0057624467
6,-0.0035013144,0.12729588,-0.0065625897,0.05677759,0.23285303,-0.008058863,0.0021979422,0.12555166,-0.0033989982,0.072053716,0.22322196,-0.005607633,0.0064852023,0.12233981,0.00021048333,0.072934076,0.21531895,0.0056292037,0.012110924,0.11941374,0.006339371,0.07459571,0.2096704,0.021360626,0.020033395,0.118430845,0.017780688,0.07959039,0.20652314,0.02434689,0.03154311,0.12693107,0.032423466,0.08373362,0.20382662,0.0036891266
7,-0.0060026455,0.13452148,-0.012445575,0.07768505,0.24489447,-0.008901057,-0.0024544136,0.12884952,-0.010553024,0.08609774,0.2351798,-0.0049343915,0.00074310973,0.12241935,-0.0073340973,0.08166261,0.22678363,0.007813625,0.0059148865,0.119277634,-0.0009279193,0.08023335,0.22072232,0.025790043,0.01414925,0.12038924,0.01212207,0.08385187,0.2165822,0.028355915,0.027814908,0.1314184,0.029367004,0.08682563,0.21284871,0.0017671019
8,-0.0037086364,0.13679032,-0.012687184,0.091031976,0.24763486,-0.016762039,-0.002170179,0.12994175,-0.011725655,0.0930267,0.23679687,-0.010883948,6.074703e-05,0.12141669,-0.00887877,0.083637446,0.22755852,0.0029503703,0.0043779043,0.11748315,-0.002991404,0.080723345,0.22102071,0.022206826,0.011783523,0.11847882,0.010106056,0.08510736,0.21567579,0.024691641,0.026249295,0.13162911,0.02876055,0.08800541,0.21213695,-0.005102427
9,-0.006125658,0.13738525,-0.017429335,0.094455495,0.25148538,-0.022350267,-0.007285917,0.12896195,-0.01816117,0.09536815,0.240379,-0.01310822,-0.0063976175,0.11749508,-0.01618106,0.08328986,0.23030807,0.0023487853,-0.0031057075,0.11243438,-0.010780306,0.07976895,0.22407101,0.022543494,0.0038230987,0.11556251,0.003316055,0.08450195,0.2178795,0.024263088,0.020316098,0.13292098,0.02435697,0.086575955,0.21408497,-0.008754879
10,-0.009344083,0.13558757,-0.022789612,0.098370805,0.2528016,-0.023626339,-0.012826336,0.12556338,-0.025268244,0.0981751,0.24048369,-0.011038132,-0.013198927,0.11174397,-0.024202019,0.083211206,0.22921455,0.0062079458,-0.010933017,0.10466174,-0.019169474,0.079294905,0.22378972,0.027274286,-0.004274362,0.10973183,-0.0032341653,0.08442773,0.2171624,0.027193705,0.015269584,0.13258459,0.021478968,0.08532308,0.21344738,-0.01080438
