Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_kappa,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_kappa,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_kappa
1,-0.035820134,0.035616584,-0.035864912,0.042439867,-0.042632718,0.038080536,-0.035428718,0.037899807,-0.034915626,0.043386117,-0.044326495,0.03477214,-0.03433896,0.041814715,-0.033632778,0.0452909,-0.044947874,0.031754874,-0.03310349,0.044242967,-0.032821205,0.047402464,-0.04475637,0.030259984,-0.03256756,0.04379297,-0.03284403,0.048826203,-0.04446195,0.03017515,-0.03301972,0.041403286,-0.03341319,0.049493,-0.0444161,0.031002188
2,-0.029743487,0.0323653,-0.029843245,0.05346451,-0.07374635,0.036491744,-0.027781652,0.04363061,-0.025081072,0.056254745,-0.08688539,0.021428151,-0.022360425,0.06162348,-0.019691521,0.0679971,-0.09048326,0.011745639,-0.017457528,0.06603398,-0.017083889,0.08155242,-0.090107,0.0083207935,-0.0161317,0.056334496,-0.017550612,0.089552715,-0.089392185,0.008670951,-0.01844298,0.044575524,-0.019583106,0.09281579,-0.08904492,0.011168001
3,-0.04736937,0.026579868,-0.048438627,0.06537688,-0.08824254,0.061470035,-0.04587931,0.037617467,-0.041948367,0.0633068,-0.10137289,0.037069425,-0.03798254,0.074922055,-0.03293907,0.07397963,-0.109163105,0.018334314,-0.028935153,0.08881846,-0.026908647,0.092394926,-0.11220583,0.010625771,-0.024275778,0.07429839,-0.025506232,0.10606679,-0.1129206,0.011008861,-0.025585365,0.05493588,-0.027087055,0.11294678,-0.111185424,0.015264485
4,-0.049040884,0.020401625,-0.051272884,0.0746089,-0.08895328,0.06829724,-0.049415495,0.02214958,-0.04548699,0.06523297,-0.09966841,0.040535714,-0.041405044,0.071025066,-0.033952817,0.07125379,-0.11279697,0.0144804865,-0.028747907,0.09641161,-0.022810876,0.09232562,-0.120203815,0.00095159933,-0.018557379,0.08171202,-0.016640017,0.11021152,-0.12229915,-0.0013129793,-0.01519805,0.060631596,-0.015137139,0.11986061,-0.11949675,0.0018958035
5,-0.05089336,0.012614988,-0.053838875,0.079869814,-0.09251804,0.0746373,-0.05215675,0.012206326,-0.04851663,0.06862762,-0.10034682,0.04495549,-0.04453516,0.062227413,-0.036539305,0.07468824,-0.11419792,0.016694741,-0.0314483,0.09160386,-0.023856223,0.097258046,-0.12194954,0.001818948,-0.019915089,0.07930276,-0.015742572,0.11564942,-0.12430665,-0.0014272875,-0.014481821,0.060445666,-0.012731862,0.12539108,-0.12008839,0.001592561
6,-0.050021715,-0.0007438436,-0.053395092,0.081991486,-0.097466975,0.07410126,-0.051563956,0.0035750628,-0.048007835,0.07201755,-0.103211775,0.042859025,-0.044181984,0.052090812,-0.03612726,0.08114137,-0.11568099,0.0154893985,-0.031775467,0.08101596,-0.023363758,0.10509719,-0.12188993,0.0028985098,-0.02064856,0.071263686,-0.014653483,0.122560754,-0.12396571,0.00012238661,-0.014430328,0.05550979,-0.011107371,0.1314033,-0.118297525,0.004468031
7,-0.049341187,-0.013538264,-0.052980207,0.08110669,-0.09611106,0.07700576,-0.051057294,-0.0077721,-0.047571022,0.07053313,-0.10131351,0.044753667,-0.043605212,0.045333408,-0.035174128,0.08137255,-0.11480376,0.016345488,-0.030851984,0.0738954,-0.021604566,0.10683472,-0.12046386,0.0048675966,-0.019223575,0.06667062,-0.011436032,0.12337218,-0.12231338,0.00040351925,-0.011256908,0.054475076,-0.006379361,0.13144436,-0.11579333,0.0028991713
8,-0.04913686,-0.026640354,-0.052762285,0.07803823,-0.09159237,0.080256835,-0.050698496,-0.019066725,-0.047295555,0.06621002,-0.09760231,0.047346827,-0.042965222,0.04129888,-0.034168903,0.078516506,-0.11330363,0.017603597,-0.02949046,0.068250306,-0.019758245,0.105722725,-0.11892621,0.007796203,-0.017261911,0.06285524,-0.008064877,0.12151399,-0.12049807,0.0019821548,-0.007504889,0.05426587,-0.001264257,0.1287923,-0.113206066,0.0020731692
9,-0.048047137,-0.041744992,-0.051482275,0.07447841,-0.08841593,0.07930992,-0.049187686,-0.027398739,-0.046021894,0.062148575,-0.095776044,0.046408303,-0.041305017,0.039218754,-0.032340486,0.07672291,-0.113141,0.01648799,-0.027403178,0.0624966,-0.017632904,0.10577223,-0.11840623,0.009951654,-0.015159752,0.057643525,-0.005100443,0.12092859,-0.11940827,0.0046049478,-0.0044116266,0.05194932,0.0027673587,0.12742747,-0.11145661,0.003988256
10,-0.047490463,-0.05360002,-0.05046315,0.070037484,-0.08390612,0.077658154,-0.047919285,-0.034807038,-0.04500699,0.057003018,-0.09312306,0.045126148,-0.039823703,0.037847534,-0.030718362,0.07335055,-0.11251385,0.014945262,-0.025331886,0.057711482,-0.015594346,0.10407897,-0.11780825,0.011181142,-0.012869919,0.05312733,-0.00215384,0.11884911,-0.11843147,0.006101102,-0.001079798,0.05025606,0.0068751727,0.12474233,-0.10985406,0.0044995216
