Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
1,0.04601256,0.04924932,0.046004005,-0.0093543595,0.02369491,0.023446433,0.045951903,0.049230576,0.045940645,-0.0086342,0.023923343,0.023502715,0.04588757,0.0492135,0.045876503,-0.0081341015,0.024070412,0.023346994,0.04582265,0.049194753,0.045813512,-0.007829623,0.024162307,0.023049397,0.045759097,0.04917192,0.045752853,-0.007931268,0.024228757,0.022630043,0.04569808,0.049144406,0.045696784,-0.009675255,0.042177033,0.0017984734
2,0.09518871,0.09813959,0.094813496,-0.0056458046,0.05824379,0.02840759,0.0948043,0.09873417,0.0947171,-0.003048541,0.049674504,0.015455559,0.09473208,0.09879856,0.094943866,-0.0031861055,0.04219941,0.012689113,0.094935775,0.09856872,0.09507604,-0.0061879,0.03748929,0.012031034,0.09503643,0.098047286,0.09511249,-0.011524273,0.037886903,0.01130244,0.09505944,0.097488664,0.09508039,-0.022338184,0.08902493,0.001772157
3,0.13050228,0.1373553,0.12528561,0.0015132308,0.09530941,0.014323884,0.12589754,0.14210379,0.124741934,0.016256718,0.07659543,-0.011753295,0.12552747,0.14123008,0.1279113,0.01909142,0.059945382,-0.0115355775,0.12856232,0.13660435,0.13168932,0.012253623,0.049368624,-0.0056700753,0.13209236,0.12903833,0.13444456,-0.0031134954,0.05033112,-0.0018762695,0.1346854,0.12293717,0.13546619,-0.030937599,0.13094255,0.0011131972
4,0.14274418,0.15881975,0.12890355,0.0031176321,0.13313518,0.021015588,0.12970625,0.16880465,0.12637883,0.036384862,0.11522575,-0.0045516677,0.12777379,0.16592322,0.13242216,0.044915214,0.09971037,0.0026083738,0.13374908,0.1568752,0.14005427,0.03761003,0.088938594,0.012976967,0.14116092,0.1422139,0.14775486,0.020684289,0.08908756,0.015526475,0.14888819,0.12679838,0.15334582,-0.016259063,0.1416215,0.00011780014
5,0.13222739,0.18562615,0.113216676,-0.00432403,0.1473919,-0.004305554,0.11338502,0.19238856,0.11514471,0.05145158,0.14002192,-0.0042645195,0.117259495,0.17375572,0.13139643,0.058115587,0.12585549,0.026555216,0.13288747,0.15782273,0.14270096,0.039175443,0.1142681,0.03429389,0.14306085,0.14227249,0.15098591,0.024627393,0.12102518,0.032792028,0.15174048,0.12389168,0.15879047,-0.0017857414,0.13585311,-3.120549e-05
6,0.110646494,0.2100813,0.08996158,-0.008760412,0.15842251,-0.032706317,0.08986419,0.20626067,0.1038809,0.07243543,0.15998897,-0.0029693253,0.10774335,0.16497345,0.13544352,0.06637767,0.13689953,0.047944862,0.13702148,0.14853333,0.1482641,0.025976403,0.11950337,0.04091702,0.14655584,0.13817108,0.15387885,0.016046679,0.14038423,0.039924014,0.15311553,0.11788175,0.16251852,0.009437085,0.13138397,-0.00062551996
7,0.0881237,0.22523643,0.06855463,-0.009036098,0.17194092,-0.05031757,0.0686569,0.2089176,0.09828301,0.09633549,0.17878196,0.0058788024,0.1045847,0.14647163,0.14483248,0.07237229,0.14345808,0.0683492,0.14647397,0.13697177,0.15585789,0.009318655,0.12196498,0.040959515,0.15170245,0.13687234,0.1575802,0.008880689,0.15926671,0.04419808,0.15562683,0.1140264,0.16740559,0.02206967,0.12860222,-0.0014211136
8,0.07328018,0.22629344,0.057470687,-0.0109993825,0.18821107,-0.053635173,0.057743005,0.20094019,0.10072948,0.11299077,0.19561063,0.016572872,0.10864661,0.12443113,0.15632899,0.071070045,0.1538008,0.08532242,0.15712146,0.12970687,0.1615254,-0.004590082,0.13069971,0.035445843,0.15518159,0.14132014,0.16153307,0.015293785,0.18289645,0.050000247,0.16053773,0.10982977,0.17460544,0.040246267,0.120188795,-0.0016898415
9,0.062334996,0.22410093,0.050182182,-0.008970291,0.19733807,-0.0552808,0.051141866,0.19417831,0.105398,0.12616774,0.1995462,0.012868069,0.115177296,0.104250446,0.16876219,0.0664672,0.15786733,0.09150835,0.16820641,0.12326563,0.16759007,-0.019655796,0.13415685,0.02422465,0.15876551,0.14630678,0.16709323,0.021972343,0.1983454,0.055694275,0.1672912,0.1038493,0.18327086,0.05324274,0.109336175,-0.001957271
10,0.052205157,0.22226496,0.04362788,-0.010633624,0.20461512,-0.053362165,0.044787876,0.19285499,0.10629244,0.12901546,0.19564047,-0.0032111004,0.116653115,0.091828205,0.17497486,0.05744972,0.15993893,0.08544114,0.17223315,0.11693101,0.16935171,-0.03156621,0.13500313,0.011256167,0.15842287,0.14394078,0.17121422,0.028402993,0.20835967,0.06630114,0.17266043,0.09143733,0.1895163,0.061497215,0.09992198,-0.0019498273
