Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
1,0.04527036,0.046275936,0.045345478,0.050673094,0.04245189,-0.0121899145,0.045346018,0.04684177,0.045407027,0.050610702,0.03666783,-0.015946425,0.045399588,0.047423545,0.04544843,0.050457615,0.031229459,-0.018863626,0.04544223,0.04796405,0.045481794,0.050188173,0.02419576,-0.021474285,0.045485117,0.04841613,0.045517914,0.04982368,0.01589776,-0.0234828,0.045533653,0.048756637,0.04556192,0.049743857,-0.037027523,0.0016097316
2,0.09353099,0.058126885,0.09364806,0.09527115,0.07388782,-0.019211661,0.09364481,0.06679781,0.09366305,0.0937365,0.026566882,-0.035865072,0.09364319,0.075068586,0.09352234,0.091886714,0.00019597448,-0.047109928,0.09352145,0.08101632,0.09322018,0.09046715,-0.013834825,-0.05521193,0.09325967,0.08434053,0.09279831,0.090182535,-0.025919653,-0.06004285,0.09283184,0.08591582,0.092317246,0.09341099,-0.08227535,0.0018372879
3,0.13583411,0.046508804,0.13614804,0.124210015,0.1208264,0.011812572,0.13470632,0.069149226,0.13388053,0.12132209,0.05575558,-0.012022885,0.13268238,0.08811858,0.13088796,0.12218759,0.006224875,-0.030684145,0.13009882,0.096347556,0.12723088,0.12716205,-0.022912452,-0.044405717,0.12636256,0.09934843,0.12228449,0.13219613,-0.042016502,-0.046434145,0.120526515,0.10327975,0.11620559,0.1390189,-0.117440745,0.0021564013
4,0.15063623,0.03574163,0.15038124,0.13641393,0.17181921,0.042452134,0.14526135,0.074986674,0.14279006,0.13490082,0.10225944,0.02229626,0.13887484,0.096578285,0.13596591,0.14675304,0.045372795,0.009240012,0.13342021,0.09454064,0.12852344,0.1640594,0.007403019,-0.004322837,0.12545037,0.09318454,0.11634187,0.17418969,-0.0204404,-0.0062226346,0.111737914,0.103730485,0.10072053,0.1816066,-0.13031714,0.0025870348
5,0.1524317,0.030316504,0.15139236,0.14257085,0.20614144,0.04456766,0.14393815,0.08327679,0.14030336,0.1416436,0.1341897,0.034194823,0.13456602,0.10303095,0.13202561,0.16295516,0.07363613,0.035658225,0.12838395,0.08775075,0.12322813,0.18992227,0.030942485,0.028417712,0.11866867,0.08194125,0.10589411,0.20308192,-0.0041880463,0.0272923,0.09958114,0.09930747,0.083000794,0.20999646,-0.14151469,0.0027797972
6,0.16028401,0.02188975,0.15910894,0.14955936,0.21041423,0.025873784,0.15208554,0.07921906,0.14787006,0.1472123,0.13611978,0.017889561,0.14242108,0.101992875,0.13889268,0.16944009,0.07359053,0.02767414,0.13544223,0.08733239,0.12898797,0.19940493,0.029869353,0.030670758,0.12390408,0.080871806,0.108580336,0.21425357,-0.010010229,0.03501337,0.10145816,0.099947795,0.08207685,0.22246711,-0.16193123,0.0028057601
7,0.16562803,0.015565591,0.16441938,0.15538473,0.19816495,-0.0051891,0.15942326,0.07374526,0.15480603,0.14961629,0.12302752,-0.011538917,0.15061894,0.09962225,0.14639652,0.16966051,0.060284615,0.0066405823,0.14383146,0.086145,0.1371226,0.20027944,0.016627869,0.019215412,0.13216956,0.0786488,0.115817465,0.21512766,-0.026214803,0.03003614,0.10844639,0.09955429,0.08794687,0.22330056,-0.17791897,0.0029097984
8,0.15634494,0.0178265,0.1546358,0.15821552,0.18549193,-0.04179487,0.1518653,0.07861413,0.14710969,0.14888419,0.10985039,-0.041623212,0.14469452,0.10003697,0.14255083,0.16942899,0.046942603,-0.005935072,0.14142911,0.07392887,0.13739164,0.20136,0.0036434822,0.018506855,0.1331956,0.062444437,0.11681352,0.21425238,-0.039416842,0.036029376,0.10969953,0.091598414,0.08752213,0.21831334,-0.18029489,0.002971038
9,0.14353943,0.023345528,0.14133045,0.16082822,0.17491722,-0.07942962,0.14053999,0.08662298,0.13621008,0.14808738,0.09771365,-0.07226049,0.13569708,0.10189299,0.13667442,0.16896658,0.03584945,-0.013227789,0.13693218,0.06109506,0.1361204,0.2019618,-0.003545341,0.026196813,0.13240725,0.045310855,0.116168275,0.21319637,-0.042734537,0.050937396,0.10905322,0.083225586,0.08494389,0.21238506,-0.17536905,0.0030105056
10,0.14058508,0.02082477,0.13839744,0.16607253,0.16589141,-0.11396483,0.1390165,0.08654206,0.13493524,0.14882733,0.0861738,-0.104775384,0.13526066,0.10313393,0.13740653,0.1678283,0.027559688,-0.027894223,0.1382899,0.057400305,0.13905212,0.2017317,-0.0052963337,0.025068568,0.13523427,0.03944109,0.11883533,0.21258946,-0.039920848,0.059756488,0.11125585,0.081077114,0.08581632,0.20919916,-0.1721888,0.002751518
11,0.14319739,0.01335117,0.14130339,0.1721947,0.16701086,-0.13875647,0.14150314,0.08303941,0.13734277,0.15080938,0.08499488,-0.13115633,0.13696101,0.10582185,0.1387109,0.16886516,0.030847613,-0.039774835,0.13908531,0.06080905,0.14004323,0.20489897,0.005017124,0.025508776,0.13511607,0.04074318,0.11834937,0.2168042,-0.026256004,0.06821384,0.10978616,0.081112035,0.08352014,0.21246512,-0.16529594,0.0026812279
12,0.14586441,0.008576184,0.14424542,0.1768193,0.17499362,-0.15431906,0.14274931,0.08259653,0.13874304,0.15288608,0.090994194,-0.14828043,0.13714,0.11053386,0.13899703,0.17136525,0.04094954,-0.04302836,0.13836582,0.06569825,0.13960958,0.21004015,0.022339096,0.034327313,0.13299672,0.04235172,0.11610839,0.22365633,-0.004869227,0.081138894,0.10626358,0.080084056,0.07940827,0.21809426,-0.1519905,0.0025904053
13,0.14979208,0.0055634603,0.14842017,0.18065068,0.17994118,-0.1693055,0.14557536,0.0833488,0.14187476,0.15480551,0.093649045,-0.16456118,0.13940196,0.115129344,0.14206114,0.17291526,0.04671289,-0.047961976,0.14067976,0.07013821,0.14278457,0.2131541,0.034994,0.038989212,0.13476512,0.043834794,0.118061356,0.22805268,0.012742272,0.08994397,0.10691938,0.080234185,0.07953069,0.22081573,-0.14168386,0.0024135455
14,0.15057321,0.0053132745,0.14930798,0.18304151,0.18494874,-0.17911127,0.14535087,0.085670024,0.14221062,0.15678395,0.095941715,-0.17448494,0.13944326,0.11766019,0.14384721,0.17498673,0.04995903,-0.04985335,0.14211866,0.07003948,0.14557931,0.21607228,0.04310701,0.042948157,0.13677353,0.040905066,0.120288715,0.23161508,0.024873197,0.09673412,0.10836601,0.07867414,0.07992269,0.22203241,-0.13703437,0.0022510127
