Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
1,0.022016402,0.025839547,0.021316763,-0.025119314,-0.011501301,-0.030860336,0.018057019,0.021627998,0.017829074,-0.013421072,-0.010007819,-0.021251142,0.015616915,0.017722217,0.015416257,-0.008657774,-0.010495086,-0.018827382,0.013369706,0.016279342,0.013071672,-0.006014482,-0.011778363,-0.018512513,0.010722881,0.01726085,0.010305812,-0.004065455,-0.014696068,-0.019337257,0.007177398,0.022517342,0.00673294,-0.0023437403,-0.026051302,-0.022271132
2,0.039855175,0.047267724,0.037024837,-0.040446136,-0.023092257,-0.06421728,0.030470213,0.030555924,0.02919385,-0.0048500104,-0.018224914,-0.04353539,0.023892006,0.017320855,0.022938825,0.009017226,-0.01876688,-0.03678619,0.017569927,0.011065144,0.01648691,0.016271174,-0.021689001,-0.034764208,0.009887198,0.011399372,0.008481756,0.021324664,-0.028927505,-0.03551236,-0.0010485076,0.022988727,-0.0026719132,0.02555024,-0.05274764,-0.041002963
3,0.03641311,0.07142544,0.029767985,-0.0693398,-0.03117793,-0.08618422,0.027533194,0.043763176,0.024236288,-0.010408796,-0.024210151,-0.057560742,0.020517902,0.02247634,0.018463615,0.01452179,-0.02414888,-0.04777428,0.013310443,0.011108723,0.011501986,0.028010473,-0.026995316,-0.043938607,0.0039155222,0.009062287,0.0018154212,0.03744828,-0.035469703,-0.043869346,-0.010400688,0.022828067,-0.012866549,0.04516135,-0.0640357,-0.050657224
4,0.027598634,0.09486615,0.016067058,-0.106088825,-0.046465762,-0.10316202,0.022099791,0.05862578,0.016050907,-0.030678736,-0.036388483,-0.070526935,0.016718363,0.030940805,0.013289932,0.0047361976,-0.034634456,-0.059017535,0.010640848,0.015072671,0.008129893,0.025185693,-0.035857838,-0.05358249,0.0016768615,0.010420801,-0.0009672359,0.039933722,-0.043365262,-0.052329183,-0.013471213,0.02500768,-0.016536402,0.051911384,-0.073948815,-0.059655666
5,0.014445763,0.105946645,-0.00071554317,-0.1425876,-0.06629708,-0.1122236,0.014034993,0.06496361,0.005673086,-0.0548565,-0.051937398,-0.07912117,0.011486201,0.032723855,0.006835336,-0.010092945,-0.048125338,-0.067220055,0.00756448,0.01347095,0.004480754,0.016994722,-0.047350623,-0.06062741,0.0001369667,0.0070335297,-0.002871116,0.036950927,-0.05314884,-0.058154404,-0.014407232,0.023150822,-0.017728502,0.053055726,-0.08431456,-0.06541001
6,-0.0007487221,0.110621326,-0.016013939,-0.1719389,-0.08545162,-0.11319137,0.0067920256,0.06572552,-0.0022350762,-0.07375631,-0.07029747,-0.08550049,0.007894231,0.029022966,0.0026324256,-0.02163569,-0.06554493,-0.07517228,0.006024168,0.0068558496,0.0026184772,0.01035205,-0.063398845,-0.06806481,-0.00015620864,-0.00068120484,-0.0033601508,0.03402623,-0.067704,-0.06452308,-0.014247285,0.017662102,-0.017525835,0.052920446,-0.098172516,-0.07115828
7,-0.010912864,0.124850415,-0.022451198,-0.18244839,-0.08952645,-0.10539704,0.006634143,0.07348182,-0.000842904,-0.076951,-0.082503416,-0.088346526,0.011138526,0.02953131,0.0061470177,-0.022040509,-0.07884756,-0.08094381,0.009938171,0.0034300913,0.0064969575,0.011046566,-0.076167546,-0.07378029,0.0034583674,-0.005643201,0.0001631201,0.035365865,-0.07915902,-0.069361754,-0.011392377,0.014255093,-0.014516638,0.05452968,-0.10743622,-0.0750544
8,-0.019238409,0.14340234,-0.026293302,-0.17957123,-0.08512315,-0.091582015,0.00819652,0.08771217,0.0034074525,-0.07046302,-0.08945461,-0.08689134,0.016291581,0.03552287,0.012057449,-0.01587559,-0.08794328,-0.08299507,0.015353471,0.0046469774,0.011981983,0.015950482,-0.085171096,-0.07598614,0.008012289,-0.006712704,0.004622111,0.039107595,-0.086870745,-0.07070082,-0.007903636,0.013522587,-0.010805543,0.057133358,-0.11205883,-0.07525807
9,-0.029484157,0.15169704,-0.0331555,-0.17418382,-0.08758056,-0.07840806,0.0049086404,0.096620075,0.0027739962,-0.06372094,-0.09684515,-0.08350591,0.016611712,0.039629094,0.013223085,-0.010061361,-0.096358255,-0.08240064,0.016496722,0.005181658,0.013196018,0.020542664,-0.09355459,-0.07545921,0.008814675,-0.00839588,0.0053078393,0.042733837,-0.09429402,-0.069249064,-0.007700869,0.011419747,-0.010403937,0.059864156,-0.11682977,-0.07284416
10,-0.034830697,0.14767247,-0.037597865,-0.17218353,-0.10179367,-0.07042343,0.0030316915,0.09733665,0.0022906198,-0.06356605,-0.10939148,-0.082664534,0.017990068,0.040535092,0.015095433,-0.011245719,-0.10826109,-0.083524175,0.019922504,0.005392355,0.016696723,0.018767646,-0.105130866,-0.076812066,0.0135687385,-0.009174478,0.0099973725,0.04089667,-0.10504744,-0.07003582,-0.0019908482,0.010534863,-0.0045249225,0.058005378,-0.12615235,-0.07326673
