Epoch,theta_1,r,theta_2,bx,bp,kappa
1,0.07471918,0.11339678,0.07471919,0.03360028,0.04137265,0.1307031
2,0.04242736,0.11339678,0.042427376,-0.04507012,-0.035997845,0.11551311
3,-0.0022069523,0.11339678,-0.0022069332,-0.12007449,-0.115505025,0.11219885
4,-0.057797424,0.11339678,-0.057797402,-0.18955822,-0.19973274,0.10643179
5,-0.11042023,0.11339678,-0.110420205,-0.2502627,-0.2849959,0.09846316
6,-0.16137868,0.11339678,-0.16137865,-0.28289673,-0.3570392,0.0815967
7,-0.21771772,0.11339678,-0.21771769,-0.2864804,-0.4166502,0.078051224
8,-0.27070636,0.11339678,-0.27070633,-0.27789566,-0.46799022,0.05887589
9,-0.33817118,0.11339678,-0.33817115,-0.260717,-0.5234528,0.058406986
10,-0.3881184,0.11339678,-0.38811836,-0.23278578,-0.562954,0.046637952
11,-0.4349648,0.11339678,-0.43496475,-0.19706249,-0.5977708,0.051657103
12,-0.45149538,0.11339678,-0.45149532,-0.15647933,-0.61520886,0.037645407
13,-0.4884914,0.11339678,-0.48849133,-0.11627075,-0.6508408,0.04137375
14,-0.5159173,0.11339678,-0.51591724,-0.07595868,-0.67080665,0.029980088
15,-0.55264187,0.11339678,-0.55264187,-0.037885305,-0.70156497,0.030246977
16,-0.57407844,0.11339678,-0.57407844,-0.0007646601,-0.7265307,0.027457051
17,-0.5798597,0.11339678,-0.5798597,0.036146477,-0.7481239,0.023711441
18,-0.5868838,0.11339678,-0.5868837,0.06771206,-0.76633686,0.022576954
19,-0.59285027,0.11339678,-0.5928502,0.095094316,-0.7817961,0.022089772
20,-0.60897833,0.11339678,-0.6089783,0.119119056,-0.79982,0.020969803
21,-0.6275029,0.11339678,-0.62750286,0.14142948,-0.81862617,0.018485213
22,-0.64010453,0.11339678,-0.6401045,0.16326593,-0.83654505,0.016533043
23,-0.6510917,0.11339678,-0.65109164,0.18478766,-0.8540623,0.016853107
24,-0.660621,0.11339678,-0.6606209,0.20535345,-0.8708778,0.020641856
25,-0.6438132,0.11339678,-0.64381313,0.21461622,-0.87322545,0.015847823
26,-0.63438004,0.11339678,-0.63438,0.21875052,-0.8748009,0.013617375
