Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
1,0.046013977,0.046999373,0.04603833,0.039942298,0.021637242,0.03175554,0.046030663,0.04719381,0.046064373,0.040218953,0.011304269,0.029578371,0.046064746,0.04741685,0.046116866,0.04036743,0.0036802958,0.026135499,0.0461281,0.0476313,0.046192277,0.040299274,-0.0019089938,0.019571275,0.046216562,0.047791664,0.046277177,0.039955966,-0.01143899,0.008194633,0.046318606,0.047887012,0.046359833,0.039518643,-0.034081083,0.0010353732
2,0.091484904,0.07385883,0.091814004,0.054768603,0.002084643,0.06422182,0.09174354,0.07513256,0.091931544,0.05538967,-0.019529978,0.060709264,0.091983534,0.076747246,0.09208142,0.05607542,-0.03398473,0.048361797,0.09218338,0.078150004,0.09219744,0.057170585,-0.041536856,0.011946394,0.09223392,0.07899234,0.092134215,0.059055008,-0.051123522,-0.020729559,0.09212767,0.07954788,0.091994025,0.06252473,-0.0734437,0.0014659785
3,0.10314154,0.08593512,0.106639765,0.054873753,0.002870887,0.10624685,0.10694569,0.08518947,0.10936915,0.05683618,-0.02748074,0.10185155,0.110524155,0.08583281,0.11162955,0.0608054,-0.045849793,0.08560336,0.11275398,0.08687284,0.111975685,0.06562305,-0.050054345,0.041462425,0.11209336,0.08883504,0.109140605,0.07116159,-0.057636224,0.00015736464,0.10866081,0.092003524,0.10514058,0.07711594,-0.097325176,0.0014494598
4,0.07795427,0.08996697,0.08508619,0.0471303,0.01474775,0.15028638,0.08636837,0.0837237,0.0920836,0.049685575,-0.020140989,0.14274248,0.09510021,0.07988176,0.09855699,0.058932204,-0.034727693,0.122480124,0.1014239,0.07706512,0.10014861,0.070019946,-0.029567637,0.08161166,0.10058245,0.07980277,0.09303604,0.080687955,-0.03470391,0.040758695,0.09214988,0.088747606,0.0831321,0.08908557,-0.106054366,0.001581299
5,0.0545148,0.08383968,0.065926336,0.04396449,0.0052690445,0.18801811,0.06858773,0.07377428,0.077415355,0.042740777,-0.035917092,0.17443378,0.08277312,0.069276914,0.087628774,0.050849736,-0.044470258,0.14429799,0.09285795,0.06537175,0.09059699,0.063097306,-0.02466222,0.10519836,0.09205731,0.069123164,0.08048917,0.07573156,-0.02297042,0.06869025,0.07976973,0.082405694,0.06637492,0.08767173,-0.117926195,0.0018087594
6,0.04939478,0.07330974,0.065918855,0.04463058,-0.02187513,0.21736422,0.06904149,0.061965745,0.080771506,0.036815558,-0.069054656,0.1994604,0.08806097,0.061570987,0.0933713,0.038083967,-0.07417673,0.15719873,0.10108018,0.061297692,0.097168215,0.046593517,-0.042692006,0.110661276,0.1001136,0.067739755,0.08471881,0.05962038,-0.03528645,0.074847445,0.084533066,0.08297324,0.067347445,0.081181526,-0.15030909,0.0020251984
7,0.052495237,0.060272362,0.07303733,0.04693626,-0.039422274,0.24290548,0.07673174,0.04974921,0.09022675,0.03437227,-0.091589466,0.22205257,0.09926486,0.055692505,0.104158305,0.030022278,-0.09584908,0.16903238,0.11376479,0.061045617,0.107923865,0.035382804,-0.05721438,0.112509035,0.111884415,0.070770204,0.09326856,0.049100284,-0.04621985,0.075719915,0.09334268,0.08716996,0.07334695,0.07998215,-0.17783494,0.0021575086
8,0.052745942,0.045651883,0.07571667,0.052888665,-0.03617825,0.26568452,0.08074476,0.036617197,0.095095634,0.039686404,-0.092601806,0.24208762,0.10559111,0.04829077,0.10974894,0.0336649,-0.098662645,0.18129061,0.12020254,0.058828365,0.11259153,0.037765734,-0.05750752,0.11818085,0.1168801,0.07155067,0.095863216,0.051402964,-0.04440447,0.08170485,0.09589157,0.08958923,0.074137986,0.08480613,-0.1862969,0.00232861
9,0.04753831,0.0382952,0.07118333,0.055058688,-0.03653186,0.28147683,0.07814324,0.030134981,0.09255328,0.04143664,-0.095678344,0.25561625,0.104517005,0.043981068,0.10817622,0.034184266,-0.101572536,0.19125746,0.11960022,0.055891678,0.11129837,0.03766425,-0.057241622,0.12519774,0.11629413,0.06922273,0.09419494,0.050312135,-0.041713007,0.0882179,0.09455393,0.088439584,0.071678355,0.08226837,-0.18877724,0.0024077822
10,0.0453217,0.040954813,0.069062814,0.050488263,-0.044539575,0.28903222,0.076975815,0.03275983,0.09139796,0.03787325,-0.10427355,0.26243758,0.103907265,0.045290746,0.10767916,0.03128062,-0.1082675,0.19915946,0.119856715,0.0551669,0.11202864,0.035071768,-0.060625385,0.13214011,0.117985405,0.06715791,0.09598628,0.045453165,-0.043111477,0.09222618,0.09690864,0.08679507,0.07354917,0.073629476,-0.19201374,0.0024009752
